doi,annee,titre,revue,citations,decision,motif,confiance,resume_present,preprint,source
10.3390/biology10121324,2021.0,Genomic Analysis of 18th-Century Kazakh Individuals and Their Oral Microbiome,Biology,3,exclude,"Human oral microbiome/paleogenomics study, unrelated to animal hybridization zones or host-microbiome genetics framework",0.97,True,False,s2
10.7717/peerj.166,2013.0,"Mind the gaps: investigating the cause of the current range disjunction in the Cape Platanna, Xenopus gilli (Anura: Pipidae)",PeerJ,18,exclude,"Uses 16S as phylogenetic marker for frog species divergence/hybridization, not host microbiome characterization",0.96,True,False,s2
10.1111/ejss.12828,2019.0,Mediterranean coastal conditions and litter type drive litter microbial responses to drought stress,European Journal of Soil Science,10,exclude,"Litter decomposition microbial ecology, no host organism, no hybridization, unrelated to fish microbiota study",0.98,True,False,s2
10.1093/biolinnean/blad019,2023.0,Species divergence despite minimal morphological differentiation and habitat overlap in the Patelloida saccharina (Patellogastropoda: Lottiidae) species complex,Biological Journal of the Linnean Society,2,exclude,"Phylogenomics of gastropod species complex/hybrid zone, no microbiome or host-microbial community data",0.97,True,False,s2
10.51694/advweedsci/2023;41:00019,2023.0,Safety of genetically modified glyphosate-tolerant eucalyptus designed for integrated weed management,Advances in Weed Science,2,exclude,"GM eucalyptus herbicide tolerance, soil microbiota only, no host-microbiota hybridization link; agronomic biosafety not hybrid zone study",0.97,True,False,s2
10.1111/gcb.17440,2024.0,"Wheat genetic resources have avoided disease pandemics, improved food security, and reduced environmental footprints: A review of historical impacts and future opportunities",Global Change Biology,34,exclude,"Wheat breeding/genetic resources review, agronomic focus, no host microbiome-hybridization study",0.98,True,False,s2
10.1515/jvetres-2018-0008,2018.0,Efficacy and Safety Assessment of Microbiological Feed Additive for Chicken Broilers in Tolerance Studies,Journal of Veterinary Research,12,exclude,"Aquaculture/élevage appliqué probiotique poulets, sans hybridation ni question hôte-microbiote évolutive",0.98,True,False,s2
10.9734/ejnfs/2018/41552,2018.0,"Risk Assessment of Insect-resistant and Herbicide Tolerant Genetically Modified Maize Bt11 for Cultivation, Import, Processing, Food and Feed Uses under Directive 2001/18/EC and Regulation (EC) Opinion",,1,exclude,"GM maize risk assessment for cultivation/food safety, unrelated to host microbiota or hybridization",0.98,True,False,s2
10.1093/ismeco/ycaf090,2025.0,Benchmarking and optimizing qualitative and quantitative pipelines in environmental metatranscriptomics using mixture controlling experiments,ISME Communications,3,exclude,"Benchmark of metatranscriptomic pipelines, no hybridization, host, or hybrid microbiote study involved",0.97,True,False,s2
10.1080/1828051x.2021.1952910,2021.0,Whole-metagenome shotgun sequencing of pig faecal microbiome,Italian Journal of Animal Science,6,exclude,"Pig faecal microbiome study, no hybridization, no host genetics or ancestry, purely descriptive livestock metagenomics",0.97,True,False,s2
10.3897/zookeys.1009.54303,2021.0,"Lake Poso's shrimp fauna revisited: the description of five new species of the genus Caridina (Crustacea, Decapoda, Atyidae) more than doubles the number of endemic lacustrine species",ZooKeys,13,exclude,"Taxonomic description using 16S/COI phylogeny; not host microbiota study, no hybridization zone microbiome analysis",0.97,True,False,s2
10.1093/jas/skab254,2021.0,Effect of a Carbohydrase Admixture in Growing Pigs Fed Wheat-Based Diets in Thermoneutral and Heat Stress Conditions.,Journal of Animal Science,16,exclude,"Aquaculture/livestock feed enzyme study in pigs; no hybridization, no host genetic-microbiota link",0.97,True,False,s2
