title,authors,year,journal,cited_by,fwci,is_review,selection_reason,doi,doi_url,openalex_url,category,abstract
"Effects of Virgin Micro- and Nanoplastics on Fish: Trends, Meta-Analysis, and Perspectives",Jacob … Métian,2020,Environmental Science & Technology,245,7.59,True,REVIEW; landmark,10.1021/acs.est.9b05995,https://doi.org/10.1021/acs.est.9b05995,https://openalex.org/W3012772093,ambiguous,"Environmental plastic pollution is a major ecological and societal concern today. Over the past decade, a broad range of laboratory and experimental studies have complemented field observations in the hope of achieving a better understanding of the fate and impact of micro- and/or nanoplastics (MP/NP) on diverse organisms (e.g., birds, fish, and mammals). However, plastic pollution remains challenging to monitor in the environment and to control under laboratory conditions, and plastic particles are often naturally or experimentally co-contaminated with diverse chemical pollutants. Therefore, "
Recent studies on probiotics as beneficial mediator in aquaculture: a review,Hasan … Banerjee,2020,The Journal of Basic and Applied Zoology,155,6.38,True,REVIEW; highly-cited,10.1186/s41936-020-00190-y,https://doi.org/10.1186/s41936-020-00190-y,https://openalex.org/W3081958099,host-microbiome,"Abstract Background The diseases in fish and other economic aquatic species is a great concern, and every year it causes a huge loss in aquaculture sectors. The use of probiotics might be a good option to reduce the disease risk and to enhance the productivity. Methods We have gathered information from various important research and review articles related to fish diseases, probiotics, and gut microbial community. We have tried our level best to represent the up-to-date information in a concise manner. Results In this present review, we have demonstrated the various beneficial aspects of probi"
Gut microbiomes of bigheaded carps and hybrids provide insights into invasion: A hologenome perspective,Zhu … Lu,2020,Evolutionary Applications,59,4.4,True,REVIEW,10.1111/eva.13152,https://doi.org/10.1111/eva.13152,https://openalex.org/W3093673519,host-microbiome,"Abstract Gut microbiomes play an essential role in host survival and local adaptation and thus can facilitate the invasion of host species. Biological invasions have been shown to be linked to the genetic properties of alien host species. It is thus plausible that the holobiont, the host, and its associated microbiome act as an entity to drive invasion success. The bighead carp and silver carp (bigheaded carps), invasive species that exhibit extensive hybridization in the Mississippi River Basin (MRB), provided a unique model to test the holobiont hypothesis of invasion. Here, we investigated "
A review on comparative analysis of marine and freshwater fish gut microbiomes: insights into environmental impact on gut microbiota,Singh … Kumar,2024,FEMS Microbiology Ecology,48,7.58,True,REVIEW; recent; recent-influential,10.1093/femsec/fiae169,https://doi.org/10.1093/femsec/fiae169,https://openalex.org/W4405749996,host-microbiome,"The gut microbiota, which includes prokaryotes, archaea, and eukaryotes such as yeasts, some protozoa, and fungi, significantly impacts fish by affecting digestion, metabolism, and the immune system. In this research, we combine various tasks carried out by various bacteria in the gut of fish. This study also examines the gut microbiome composition of marine and freshwater fish, identifying important bacterial species linked to different biological functions. The diversity within fish species highlights the importance of considering nutrition, habitat, and environmental factors in microbiologi"
Importance of gut microbiota in fish – A review,Uma … Abraham,2020,Indian Journal of Animal Health,18,0.45,True,REVIEW,10.36062/ijah.59.2spl.2020.181-194,https://doi.org/10.36062/ijah.59.2spl.2020.181-194,https://openalex.org/W3118160467,host-microbiome,"The microbiota are normally involved in numerous factors concerned with the health of the fishes in their environment and many of them can also cause threats to the same. In fish, the gut microbiota inhabiting the gastrointestinal tract influence the physiology, nutrition, life span, immunity, besides acting as a barrier against pathogens. Although gut microbiotas are present in all the fish, their composition varies based on their life stages, the environment in which they live, diet, seasons, trophic levels, etc. There are numerous studies related to the intestinal microbiota of freshwater, "
Host habitat shapes the core gut bacteria of decapod crustaceans: A meta-analysis,Foysal,2023,Heliyon,11,1.86,True,REVIEW; recent,10.1016/j.heliyon.2023.e16511,https://doi.org/10.1016/j.heliyon.2023.e16511,https://openalex.org/W4377691858,host-microbiome,"Gut microbiota is an essential determinant factor that drives the physiological, immunological, and metabolic functions of animals. A few meta-analysis studies identified crucial information about the gut microbiota of vertebrate animals in different habitats including fish while no report is yet available for the commercially cultured decapod crustaceans (DC). This meta-analysis investigated the gut microbiota of 11 commercially cultured DC species from five different groups-crab, crayfish, lobster, prawn, and shrimp to gain an overview of microbial diversity and composition and to find out c"
Gill Health in Fish Farmed in Recirculating Aquaculture Systems (<scp>RAS</scp>): A Review,Bjørgen … Nowak,2024,Journal of Fish Diseases,9,1.44,True,REVIEW; recent,10.1111/jfd.14057,https://doi.org/10.1111/jfd.14057,https://openalex.org/W4405195135,ambiguous,"Recirculating Aquaculture Systems (RAS) have been proposed as the future of aquaculture, because they can be used anywhere regardless of access to water, they offer high level of control over farming environment, including biosecurity, and are considered to be sustainable. However, despite of continuous development, there can be still issues with water quality affecting gill health of fish farmed in these systems. This review provides an overview of fish gill structure and gill immune response, and discusses the known impacts of RAS on gill health. Several experimental studies have inadequatel"
Innovative protein sources from freshwater and marine environments - A comprehensive review,Lima … Haminiuk,2025,Measurement Food,7,1.39,True,REVIEW; recent,10.1016/j.meafoo.2025.100215,https://doi.org/10.1016/j.meafoo.2025.100215,https://openalex.org/W4407406154,ambiguous,"• Blue foods include fish, invertebrates, algae, and aquatic plants; • Over 70% of Earth's surface is ocean, offering sustainable cultivation and harvesting opportunities; • Blue foods' protein potential matches or exceeds that of traditional sources; • The food industry has explored protein extraction and analysis for various applications. Blue foods are a diverse and rich source of proteins and other valuable nutrients, comparable to or surpassing traditional protein sources such as eggs and soy. Additionally, these foods possess advantageous technological properties, including thickening, b"
The double burden of malnutrition—further perspective,Stewart … Dewey,2020,The Lancet,5,0.35,True,REVIEW,10.1016/s0140-6736(20)31360-x,https://doi.org/10.1016/s0140-6736(20)31360-x,https://openalex.org/W3086538305,ambiguous,
Toxicity of nano- and microplastics on marine and freshwater fish: A multi-scale perspective from organ systems to cells,Nguyen … Kwak,2026,Water Biology and Security,4,13.2,True,REVIEW; recent; recent-influential,10.1016/j.watbs.2025.100534,https://doi.org/10.1016/j.watbs.2025.100534,https://openalex.org/W7119501121,ambiguous,"Nano- and microplastic pollution is increasingly recognized as a global threat to aquatic organisms and human health. These plastics are widespread in both marine and freshwater environments and pose significant risks to fish health. This review explores the routes of exposure, accumulation, and adverse effects of nano- and microplastics on fish, from the organ system to the cellular level. The primary routes of exposure are through ingestion and uptake via the gills. Once inside the body, these plastics accumulate in the gut and gills, penetrate the bloodstream, and bioaccumulate in other tis"
Gut Microbiome and Fish Health: An Overview in Finfish Aquaculture Prospective,Hoque … Sundaray,2023,,4,4.08,True,REVIEW; recent,10.1007/978-981-99-0852-3_3,https://doi.org/10.1007/978-981-99-0852-3_3,https://openalex.org/W4388641016,host-microbiome,
Perspectives and Implications of Probiotics as Beneficial Mediators in Aquaculture Industry,Pushparaj … Meyyazhagan,2022,,3,1.76,True,REVIEW; recent,10.1007/978-981-19-0817-0_3,https://doi.org/10.1007/978-981-19-0817-0_3,https://openalex.org/W4286579131,ambiguous,
Metagenomic profiling of fish-associated microbiota: ecological perspectives from freshwater to marine environment—a review,Sundaray … Parida,2026,Archives of Microbiology,3,12.38,True,REVIEW; recent; recent-influential,10.1007/s00203-025-04646-z,https://doi.org/10.1007/s00203-025-04646-z,https://openalex.org/W7123106719,ambiguous,
Pseudocapillaria tomentosa (Nematoda: Capillariidae) in fish and its significance in comprehending host-parasite relationships: A review,Marandi … Jørgensen,2025,Current Research in Parasitology and Vector-Borne Diseases,1,0.97,True,REVIEW; recent,10.1016/j.crpvbd.2025.100265,https://doi.org/10.1016/j.crpvbd.2025.100265,https://openalex.org/W4410109306,ambiguous,"ABSTRACT Helminth parasites, including capillariids, pose a significant health risk to animals, including fishes, birds, and mammals. Pseudocapillaria tomentosa is a widespread, but poorly studied parasite primarily infecting freshwater cyprinid fishes in the northern hemisphere. However, despite controlled laboratory procedures, the parasite is also prevalent in many zebrafish ( Danio rerio ) research facilities due to inadequate measures to ensure biological security and the ability of the nematode to endure chlorine treatment. Pseudocapillaria tomentosa typically causes chronic disease in f"
"A review on antibiotic use in tilapia farming: Pharmacokinetics, impacts, and potential health risks",Zhang … Mo,2026,Marine Pollution Bulletin,1,3.41,True,REVIEW; recent,10.1016/j.marpolbul.2026.119582,https://doi.org/10.1016/j.marpolbul.2026.119582,https://openalex.org/W7138960325,ambiguous,
Exploring the Probiotic and Antimicrobial Potential of Pediococcus Pentosaceus Isolates from Fish: Genomic and Functional Perspectives,Frota … Oliveira,2026,Probiotics and Antimicrobial Proteins,1,4.25,True,REVIEW; recent,10.1007/s12602-025-10841-7,https://doi.org/10.1007/s12602-025-10841-7,https://openalex.org/W7118243846,ambiguous,
