cle_bibtex,doi,annee,titre,revue,citations,origine,themes,resume,preprint
a2021evidence,10.1111/nph.17820,2021.0,Evidence for host–microbiome co‐evolution in apple,New Phytologist,,hybrides (2026),hybridation,True,False
simkova2012does,10.1186/1756-3305-5-200,2012.0,Does invasive Chondrostoma nasus shift the parasite community structure of endemic Parachondrostoma toxostoma in sympatric zones?,Parasites & Vectors,19.0,systeme etude,"hybridation, systeme-etude, poisson",True,False
simkova2013genomic,10.1371/journal.pone.0065883,2013.0,Genomic Porosity between Invasive Chondrostoma nasus and Endangered Endemic Parachondrostoma toxostoma (Cyprinidae): The Evolution of MHC IIB Genes,PLoS ONE,11.0,systeme etude,"hybridation, systeme-etude, poisson",True,False
a2026unravelling,10.1002/jat.70061,2026.0,Unravelling the Potential Role of Nanoplastics and Microplastics‐Induced Toxicity in Freshwater Fish: Emerging Role of Programmed Cell Death Mechanisms,Journal of Applied Toxicology,,microbiote poissons,"poisson, tissus",True,False
a2017making,10.1016/j.mib.2016.11.002,2017.0,Making a microbiome: the many determinants of host-associated microbial community composition,Current Opinion in Microbiology,242.0,manuscrit origine,cadre-general,True,False
a2025effectiveness,10.21608/ejabf.2025.446023,2025.0,Effectiveness of Decaying Fruits as Carbon Source on Fish Productivity and Water Quality Improvement in Aquaculture: A Narrative Review,Egyptian Journal of Aquatic Biology and Fisheries,,microbiote poissons,"poisson, tissus",True,False
a2013evolution,10.2478/micsm-2013-0002,2013.0,Co-evolution in context: The importance of studying gut microbiomes in wild animals,Microbiome Science and Medicine,163.0,manuscrit origine,tissus,True,False
a2016phylogenetic,10.1007/s00442-015-3507-z,2016.0,Phylogenetic and ecological factors impact the gut microbiota of two Neotropical primate species,Oecologia,109.0,manuscrit origine,tissus,True,False
a2017deblur,10.1128/msystems.00191-16,2017.0,Deblur Rapidly Resolves Single-Nucleotide Community Sequence Patterns,mSystems,1591.0,etat art 16S,"methodes-16S, tissus",True,False
a2019rarefaction,10.3389/fmicb.2019.02407,2019.0,"Rarefaction, Alpha Diversity, and Statistics",Frontiers in Microbiology,,raréfaction,rarefaction,True,False
a2010individuality,10.1073/pnas.1007028107,2010.0,Individuality in gut microbiota composition is a complex polygenic trait shaped by multiple environmental and host genetic factors,Proceedings of the National Academy of Sciences,,hybrides (2026),"heritabilite, tissus",True,False
a2021microbiome,10.1371/journal.pbio.3001417,2021.0,The microbiome impacts host hybridization and speciation,PLoS Biology,,hybrides (2026),hybridation,True,False
a2026environment,10.1002/ecs2.70611,2026.0,"Environment impacts gut microbiome richness in hybridizing chickadees, while ancestry influences community composition",Ecosphere,,hybrides (2026),"hybridation, methodes-16S, tissus",True,False
b2025transgressive,10.1186/s40168-024-01994-8,2025.0,Transgressive hybrids as hopeful holobionts,Microbiome,,hybrides (2026),"hybridation, tissus",True,False
b2025multiscale,10.1128/msphere.00058-25,2025.0,Multiscale ecological boundaries and microbial community coalescence in host-associated microbiota,Msphere,,hybrides (2026),hybridation,True,False
b2015microbiota,10.1371/journal.pone.0127462,2015.0,Gut Microbiota Dynamics during Dietary Shift in Eastern African Cichlid Fishes,PLoS ONE,,microbiote poissons,"methodes-16S, poisson, tissus",True,False
