study_accession	run_alias	exp_alias	sample_alias	sequencing_run	library_prep	sequencing_replicate	library_name	run_accession	experiment_accession	file_r1	md5_r1	file_r2	md5_r2	sample_core	sample_type_ena	taxon_name	site_code	host_tissue_sampled	collection_date
PRJEB124417	DURANCE16S_RUN_14Ain1001Cn01A_durance1	DURANCE16S_EXP_14Ain1001Cn01A_durance1	DURANCE16S_14Ain1001Cn01A	durance1	prep1	1	14Ain1001Cn01A_durance1	ERR17751462	ERX17142005	14Ain1001Cn01A_S1_L001_R1_001.fastq.gz	f68e56712ab2e666c223e0d82182ac83	14Ain1001Cn01A_S1_L001_R2_001.fastq.gz	2f4aee14b2e9d5c2756bc2ecb58e216a	14Ain1001Cn01A	biological	fish metagenome	Ain	caudal fin [UBERON:4000164]	2014
PRJEB124417	DURANCE16S_RUN_14Ain1001Cn01A_durance2	DURANCE16S_EXP_14Ain1001Cn01A_durance2	DURANCE16S_14Ain1001Cn01A	durance2	prep2	1	14Ain1001Cn01A_durance2	ERR17751455	ERX17141998	14Ain1001Cn01A_S1_L001_R1_001.fastq.gz	c1d34dd7020b613896169527be00f4d5	14Ain1001Cn01A_S1_L001_R2_001.fastq.gz	bcc03fc9e4520ed0dd4e750d536cd95a	14Ain1001Cn01A	biological	fish metagenome	Ain	caudal fin [UBERON:4000164]	2014
PRJEB124417	DURANCE16S_RUN_14Ain1001Cn01A_durance3	DURANCE16S_EXP_14Ain1001Cn01A_durance3	DURANCE16S_14Ain1001Cn01A	durance3	prep2	2	14Ain1001Cn01A_durance3	ERR17751456	ERX17141999	14Ain1001Cn01A_S1_L001_R1_001.fastq.gz	9734217ed4ef59e337ea11816b3fdb69	14Ain1001Cn01A_S1_L001_R2_001.fastq.gz	902e00f2739b56244568f31b8891c66e	14Ain1001Cn01A	biological	fish metagenome	Ain	caudal fin [UBERON:4000164]	2014
PRJEB124417	DURANCE16S_RUN_14Ain1001Cn02A_durance1	DURANCE16S_EXP_14Ain1001Cn02A_durance1	DURANCE16S_14Ain1001Cn02A	durance1	prep1	1	14Ain1001Cn02A_durance1	ERR17751460	ERX17142003	14Ain1001Cn02A_S577_L001_R1_001.fastq.gz	d093a8eeefd08bd5c7c3a1747bf97c25	14Ain1001Cn02A_S577_L001_R2_001.fastq.gz	2ded6f994b44435fb1af670ce2c3e5ef	14Ain1001Cn02A	biological	fish gut metagenome	Ain	midgut [UBERON:0001045]	2014
PRJEB124417	DURANCE16S_RUN_14Ain1001Cn02A_durance2	DURANCE16S_EXP_14Ain1001Cn02A_durance2	DURANCE16S_14Ain1001Cn02A	durance2	prep2	1	14Ain1001Cn02A_durance2	ERR17751457	ERX17142000	14Ain1001Cn02A_S577_L001_R1_001.fastq.gz	d5e290b98b016de33c0a388e167ea587	14Ain1001Cn02A_S577_L001_R2_001.fastq.gz	3ef589f871f97ead37742c8cb096b83c	14Ain1001Cn02A	biological	fish gut metagenome	Ain	midgut [UBERON:0001045]	2014
PRJEB124417	DURANCE16S_RUN_14Ain1001Cn02A_durance3	DURANCE16S_EXP_14Ain1001Cn02A_durance3	DURANCE16S_14Ain1001Cn02A	durance3	prep2	2	14Ain1001Cn02A_durance3	ERR17751461	ERX17142004	14Ain1001Cn02A_S577_L001_R1_001.fastq.gz	e474889dcba9e3c245ae33b936c00949	14Ain1001Cn02A_S577_L001_R2_001.fastq.gz	22607552ec9c8a08acfdf1534b7af406	14Ain1001Cn02A	biological	fish gut metagenome	Ain	midgut [UBERON:0001045]	2014
PRJEB124417	DURANCE16S_RUN_14Ain1001Cn03A_durance1	DURANCE16S_EXP_14Ain1001Cn03A_durance1	DURANCE16S_14Ain1001Cn03A	durance1	prep1	1	14Ain1001Cn03A_durance1	ERR17751459	ERX17142002	14Ain1001Cn03A_S385_L001_R1_001.fastq.gz	0da76fc54d574bac128a8d5a49b2091e	14Ain1001Cn03A_S385_L001_R2_001.fastq.gz	6c42f2e735f7644e7015ad786cf9db00	14Ain1001Cn03A	biological	fish gut metagenome	Ain	hindgut [UBERON:0001046]	2014
PRJEB124417	DURANCE16S_RUN_14Ain1001Cn03A_durance2	DURANCE16S_EXP_14Ain1001Cn03A_durance2	DURANCE16S_14Ain1001Cn03A	durance2	prep2	1	14Ain1001Cn03A_durance2	ERR17751458	ERX17142001	14Ain1001Cn03A_S385_L001_R1_001.fastq.gz	54d426f3afea590889cda7ddedfbb8b1	14Ain1001Cn03A_S385_L001_R2_001.fastq.gz	3f82acae863402e552c33cb8d28f9cdd	14Ain1001Cn03A	biological	fish gut metagenome	Ain	hindgut [UBERON:0001046]	2014
PRJEB124417	DURANCE16S_RUN_14Ain1001Cn03A_durance3	DURANCE16S_EXP_14Ain1001Cn03A_durance3	DURANCE16S_14Ain1001Cn03A	durance3	prep2	2	14Ain1001Cn03A_durance3	ERR17751463	ERX17142006	14Ain1001Cn03A_S385_L001_R1_001.fastq.gz	61c6f4c565bc935447d050a1330ceab3	14Ain1001Cn03A_S385_L001_R2_001.fastq.gz	ee5553e41cca792d24b99d69765568a4	14Ain1001Cn03A	biological	fish gut metagenome	Ain	hindgut [UBERON:0001046]	2014
PRJEB124417	DURANCE16S_RUN_14Ain1001Cn05A_durance1	DURANCE16S_EXP_14Ain1001Cn05A_durance1	DURANCE16S_14Ain1001Cn05A	durance1	prep1	1	14Ain1001Cn05A_durance1	ERR17751464	ERX17142007	14Ain1001Cn05A_S193_L001_R1_001.fastq.gz	3190bf07035a9e2fec8e6ed040d7fba4	14Ain1001Cn05A_S193_L001_R2_001.fastq.gz	c144d460bc2a5accf2577864ecc6c5d4	14Ain1001Cn05A	biological	gill metagenome	Ain	gill [UBERON:0002535]	2014
