emplacement,valeur_citee,actuelle_aout,passe1_20Hy_n158,passe2_42Hy_n180,conclusion,cause_du_changement,note,attribution_passe2_vers_passe1 (témoin 27)
§1,effectifs Cn / Hy / Pt,59 / 30 / 91,59 / 20 / 79 (22 quasi-purs exclus),59 / 42 / 79,à réécrire,étiquettes (+ exclusion en passe 1),,
§1,individus identifiés en morphologie reclassés par le génotypage,8 sur 49,4 sur 44,9 sur 49,à réécrire,étiquettes,"5 des 49 sont des quasi-purs, exclus en passe 1",
§1 ; §8.9,stations portant les 3 catégories (individus),3 (74),3 (65) ; Saint-Just n'a plus qu'1 Hy,3 (74),tient en passe 2 ; affaiblie en passe 1,effectif (passe 1),,
§1,"génotypage : 175 par Q-scores sur le foie, 5 par d'autres tissus",— (non mentionné),175 + 5,175 + 5,à ajouter,—,"2014_Bue_1001, 2014_Bue_1002, 2015_Bue_1014, 2015_Cab_1011, 2015_Jus_1008, tous purs",
Table S1,Cn / Hy / Pt — Avignon,20 / 4 / 0,19 / 2 / 0,19 / 5 / 0,à réécrire,étiquettes + exclusion,,
Table S1,Cn / Hy / Pt — Canal (usine du Largue),8 / 4 / 8,8 / 4 / 6,8 / 6 / 6,à réécrire,étiquettes + exclusion,,
Table S1,Cn / Hy / Pt — Confluence Buech-Meouge,11 / 10 / 14,11 / 8 / 14,11 / 10 / 14,à réécrire,étiquettes + exclusion,,
Table S1,Cn / Hy / Pt — Manosque-Oraison,0 / 2 / 13,0 / 1 / 10,0 / 5 / 10,à réécrire,étiquettes + exclusion,,
Table S1,Cn / Hy / Pt — Rosieres,0 / 4 / 21,0 / 1 / 18,0 / 7 / 18,à réécrire,étiquettes + exclusion,,
Table S1,Cn / Hy / Pt — Saint-Just-d'Ardeche,8 / 3 / 8,9 / 1 / 4,9 / 6 / 4,à réécrire,étiquettes + exclusion,,
Table S1,Cn / Hy / Pt — Total,59 / 30 / 91,59 / 20 / 79,59 / 42 / 79,à réécrire,étiquettes (+ exclusion en passe 1),,
"Table S1, note",« Genotypic categories follow the chromosome-level assignment »,12 chromosomes (implicite),25 chromosomes,25 chromosomes,à préciser,—,,
Note S2,"« 91 P. toxostoma, 59 C. nasus and 30 hybrids »",91 / 59 / 30,79 / 59 / 20 (+22 quasi-purs exclus),79 / 59 / 42,à réécrire,étiquettes,Note S2 décrit le dépôt ENA : la passe 2 est la bonne référence (tous les poissons y sont déposés),
