passe,run,tissu,n,log10_blocs_station,log10_blocs_site,rosieres_comp,rosieres_arrangements,intra_Canal (us,intra_Confluenc,intra_Saint-Jus
aout,durance1,caudale,142,27.0,34.6,0/3/20,1771,"[0, 0, 0] SAUTÉ (min<3)","[10, 4, 13] OK","[6, 2, 8] SAUTÉ (min<3)"
aout,durance1,branchie,171,39.9,46.7,0/4/21,12650,"[8, 4, 8] OK","[7, 10, 12] OK","[8, 3, 8] OK"
aout,durance1,midgut,147,30.1,37.4,0/2/16,153,"[3, 1, 4] SAUTÉ (min<3)","[9, 4, 12] OK","[8, 3, 8] OK"
aout,durance1,hindgut,123,29.0,32.7,0/4/21,12650,"[7, 3, 8] OK","[5, 5, 8] OK","[6, 3, 8] OK"
aout,durance2,caudale,141,26.0,33.7,0/3/19,1540,"[2, 0, 1] SAUTÉ (min<3)","[10, 4, 10] OK","[7, 2, 8] SAUTÉ (min<3)"
aout,durance2,branchie,161,36.0,43.4,0/4/21,12650,"[8, 4, 6] OK","[6, 9, 10] OK","[8, 3, 8] OK"
aout,durance2,midgut,148,31.4,38.7,0/2/16,153,"[3, 1, 4] SAUTÉ (min<3)","[9, 6, 12] OK","[8, 3, 8] OK"
aout,durance2,hindgut,157,34.8,42.0,0/4/21,12650,"[7, 3, 8] OK","[8, 6, 12] OK","[7, 3, 8] OK"
aout,durance3,caudale,137,25.1,32.8,0/3/19,1540,"[2, 0, 1] SAUTÉ (min<3)","[10, 4, 9] OK","[6, 2, 8] SAUTÉ (min<3)"
aout,durance3,branchie,157,34.9,42.3,0/4/21,12650,"[7, 4, 6] OK","[6, 9, 10] OK","[7, 3, 7] OK"
aout,durance3,midgut,146,30.7,38.0,0/2/16,153,"[3, 1, 4] SAUTÉ (min<3)","[9, 5, 12] OK","[8, 3, 8] OK"
aout,durance3,hindgut,154,34.1,41.0,0/4/21,12650,"[7, 3, 8] OK","[7, 6, 12] OK","[7, 3, 8] OK"
passe2,durance1,caudale,142,31.6,39.2,0/6/17,100947,"[0, 0, 0] SAUTÉ (min<3)","[10, 5, 12] OK","[7, 5, 4] OK"
passe2,durance1,branchie,171,43.8,50.7,0/7/18,480700,"[8, 6, 6] OK","[7, 9, 13] OK","[9, 6, 4] OK"
passe2,durance1,midgut,147,33.3,40.6,0/4/14,3060,"[3, 1, 4] SAUTÉ (min<3)","[9, 4, 12] OK","[9, 6, 4] OK"
passe2,durance1,hindgut,123,32.2,35.9,0/7/18,480700,"[7, 5, 6] OK","[5, 5, 8] OK","[7, 6, 4] OK"
passe2,durance2,caudale,141,30.6,38.3,0/6/16,74613,"[2, 0, 1] SAUTÉ (min<3)","[10, 5, 9] OK","[8, 5, 4] OK"
passe2,durance2,branchie,161,39.0,46.3,0/7/18,480700,"[8, 6, 4] OK","[6, 8, 11] OK","[9, 6, 4] OK"
passe2,durance2,midgut,148,35.3,42.6,0/5/13,8568,"[3, 2, 3] SAUTÉ (min<3)","[9, 6, 12] OK","[9, 6, 4] OK"
passe2,durance2,hindgut,157,39.0,46.2,0/7/18,480700,"[7, 5, 6] OK","[8, 5, 13] OK","[8, 6, 4] OK"
passe2,durance3,caudale,137,29.6,37.2,0/6/16,74613,"[2, 0, 1] SAUTÉ (min<3)","[10, 5, 8] OK","[7, 5, 4] OK"
passe2,durance3,branchie,157,37.2,44.6,0/7/18,480700,"[7, 6, 4] OK","[6, 8, 11] OK","[8, 6, 3] OK"
passe2,durance3,midgut,146,34.5,41.9,0/5/13,8568,"[3, 2, 3] SAUTÉ (min<3)","[9, 5, 12] OK","[9, 6, 4] OK"
passe2,durance3,hindgut,154,38.4,45.3,0/7/18,480700,"[7, 5, 6] OK","[7, 5, 13] OK","[8, 6, 4] OK"
passe1,durance1,caudale,124,19.2,26.8,0/1/17,18,"[0, 0, 0] SAUTÉ (min<3)","[10, 3, 12] OK","[7, 1, 4] SAUTÉ (min<3)"
passe1,durance1,branchie,150,29.9,36.7,0/1/18,19,"[8, 4, 6] OK","[7, 8, 13] OK","[9, 1, 4] SAUTÉ (min<3)"
passe1,durance1,midgut,131,21.3,28.6,0/0/14,1,"[3, 1, 4] SAUTÉ (min<3)","[9, 2, 12] SAUTÉ (min<3)","[9, 1, 4] SAUTÉ (min<3)"
passe1,durance1,hindgut,105,20.8,24.5,0/1/18,19,"[7, 3, 6] OK","[5, 4, 8] OK","[7, 1, 4] SAUTÉ (min<3)"
passe1,durance2,caudale,124,18.8,26.5,0/1/16,17,"[2, 0, 1] SAUTÉ (min<3)","[10, 3, 9] OK","[8, 1, 4] SAUTÉ (min<3)"
passe1,durance2,branchie,141,26.1,33.5,0/1/18,19,"[8, 4, 4] OK","[6, 7, 11] OK","[9, 1, 4] SAUTÉ (min<3)"
passe1,durance2,midgut,130,22.6,30.0,0/0/13,1,"[3, 1, 3] SAUTÉ (min<3)","[9, 4, 12] OK","[9, 1, 4] SAUTÉ (min<3)"
passe1,durance2,hindgut,138,26.4,33.6,0/1/18,19,"[7, 3, 6] OK","[8, 4, 13] OK","[8, 1, 4] SAUTÉ (min<3)"
passe1,durance3,caudale,120,18.1,25.8,0/1/16,17,"[2, 0, 1] SAUTÉ (min<3)","[10, 3, 8] OK","[7, 1, 4] SAUTÉ (min<3)"
passe1,durance3,branchie,138,25.1,32.5,0/1/18,19,"[7, 4, 4] OK","[6, 7, 11] OK","[8, 1, 3] SAUTÉ (min<3)"
passe1,durance3,midgut,128,21.8,29.1,0/0/13,1,"[3, 1, 3] SAUTÉ (min<3)","[9, 3, 12] OK","[9, 1, 4] SAUTÉ (min<3)"
passe1,durance3,hindgut,135,25.8,32.7,0/1/18,19,"[7, 3, 6] OK","[7, 4, 13] OK","[8, 1, 4] SAUTÉ (min<3)"
