alias	accession	stem	individual_id	champ	valeur_deposee	valeur_corrigee	motif
DURANCE16S_15Cab1003Ch01A	ERS31168050	15Cab1003Ch01A	2015_Cab_1003	TITLE	Chondrostoma sp. caudal fin bacterial microbiota, Cab 2015, individual 1003	Chondrostoma nasus caudal fin bacterial microbiota, Cab 2015, individual 1003	classification a 25 chromosomes (sept. 2026) : Cn ; depot du 2026-08-31 = Cn (12 chr) pour le nom scientifique, titre et nom commun restes a l'identification morphologique
DURANCE16S_15Cab1003Ch01A	ERS31168050	15Cab1003Ch01A	2015_Cab_1003	host common name	Chondrostoma sp.	nase	classification a 25 chromosomes (sept. 2026) : Cn ; depot du 2026-08-31 = Cn (12 chr) pour le nom scientifique, titre et nom commun restes a l'identification morphologique
DURANCE16S_15Cab1011Ch01A	ERS31168051	15Cab1011Ch01A	2015_Cab_1011	TITLE	Chondrostoma sp. caudal fin bacterial microbiota, Cab 2015, individual 1011	Parachondrostoma toxostoma caudal fin bacterial microbiota, Cab 2015, individual 1011	classification a 25 chromosomes (sept. 2026) : Pt ; depot du 2026-08-31 = Pt (12 chr) pour le nom scientifique, titre et nom commun restes a l'identification morphologique
DURANCE16S_15Cab1011Ch01A	ERS31168051	15Cab1011Ch01A	2015_Cab_1011	host common name	Chondrostoma sp.	toxostome	classification a 25 chromosomes (sept. 2026) : Pt ; depot du 2026-08-31 = Pt (12 chr) pour le nom scientifique, titre et nom commun restes a l'identification morphologique
DURANCE16S_15Cab1019Ch01A	ERS31168052	15Cab1019Ch01A	2015_Cab_1019	TITLE	Chondrostoma sp. caudal fin bacterial microbiota, Cab 2015, individual 1019	Parachondrostoma toxostoma caudal fin bacterial microbiota, Cab 2015, individual 1019	classification a 25 chromosomes (sept. 2026) : Pt ; depot du 2026-08-31 = Pt (12 chr) pour le nom scientifique, titre et nom commun restes a l'identification morphologique
DURANCE16S_15Cab1019Ch01A	ERS31168052	15Cab1019Ch01A	2015_Cab_1019	host common name	Chondrostoma sp.	toxostome	classification a 25 chromosomes (sept. 2026) : Pt ; depot du 2026-08-31 = Pt (12 chr) pour le nom scientifique, titre et nom commun restes a l'identification morphologique
DURANCE16S_14Bue1015Ch01A	ERS31168055	14Bue1015Ch01A	2014_Bue_1015	TITLE	Chondrostoma sp. caudal fin bacterial microbiota, Bue 2014, individual 1015	Parachondrostoma toxostoma caudal fin bacterial microbiota, Bue 2014, individual 1015	classification a 25 chromosomes (sept. 2026) : Pt ; depot du 2026-08-31 = Pt (12 chr) pour le nom scientifique, titre et nom commun restes a l'identification morphologique
DURANCE16S_14Bue1015Ch01A	ERS31168055	14Bue1015Ch01A	2014_Bue_1015	host common name	Chondrostoma sp.	toxostome	classification a 25 chromosomes (sept. 2026) : Pt ; depot du 2026-08-31 = Pt (12 chr) pour le nom scientifique, titre et nom commun restes a l'identification morphologique
DURANCE16S_14Man1011Ch01A	ERS31168056	14Man1011Ch01A	2014_Man_1011	TITLE	Chondrostoma sp. caudal fin bacterial microbiota, Man 2014, individual 1011	Chondrostoma nasus x Parachondrostoma toxostoma caudal fin bacterial microbiota, Man 2014, individual 1011	classification a 25 chromosomes (sept. 2026) : Hy ; depot du 2026-08-31 = Pt (12 chr) pour le nom scientifique, titre et nom commun restes a l'identification morphologique
DURANCE16S_14Man1011Ch01A	ERS31168056	14Man1011Ch01A	2014_Man_1011	host scientific name	Parachondrostoma toxostoma	Chondrostoma nasus x Parachondrostoma toxostoma	classification a 25 chromosomes (sept. 2026) : Hy ; depot du 2026-08-31 = Pt (12 chr) pour le nom scientifique, titre et nom commun restes a l'identification morphologique
