alias	accession	stem	sample_type	champ	valeur_deposee	valeur_corrigee	motif
DURANCE16S_14Ain1001Cn01A	ERS31168048	14Ain1001Cn01A	biological	host subject id	Ain1001	14Ain1001	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1001Cn02A	ERS31168624	14Ain1001Cn02A	biological	host subject id	Ain1001	14Ain1001	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1001Cn03A	ERS31168432	14Ain1001Cn03A	biological	host subject id	Ain1001	14Ain1001	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1001Cn05A	ERS31168240	14Ain1001Cn05A	biological	host subject id	Ain1001	14Ain1001	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1002Cn01A	ERS31168060	14Ain1002Cn01A	biological	host subject id	Ain1002	14Ain1002	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1002Cn02A	ERS31168636	14Ain1002Cn02A	biological	host subject id	Ain1002	14Ain1002	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1002Cn03A	ERS31168444	14Ain1002Cn03A	biological	host subject id	Ain1002	14Ain1002	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1002Cn05A	ERS31168252	14Ain1002Cn05A	biological	host subject id	Ain1002	14Ain1002	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1011Pt01A	ERS31168072	14Ain1011Pt01A	biological	host subject id	Ain1011	14Ain1011	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1011Pt02A	ERS31168648	14Ain1011Pt02A	biological	host subject id	Ain1011	14Ain1011	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1011Pt03A	ERS31168456	14Ain1011Pt03A	biological	host subject id	Ain1011	14Ain1011	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1011Pt05A	ERS31168264	14Ain1011Pt05A	biological	host subject id	Ain1011	14Ain1011	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1012Pt01A	ERS31168084	14Ain1012Pt01A	biological	host subject id	Ain1012	14Ain1012	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1012Pt02A	ERS31168660	14Ain1012Pt02A	biological	host subject id	Ain1012	14Ain1012	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1012Pt03A	ERS31168468	14Ain1012Pt03A	biological	host subject id	Ain1012	14Ain1012	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1012Pt05A	ERS31168276	14Ain1012Pt05A	biological	host subject id	Ain1012	14Ain1012	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1013Pt01A	ERS31168096	14Ain1013Pt01A	biological	host subject id	Ain1013	14Ain1013	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1013Pt02A	ERS31168672	14Ain1013Pt02A	biological	host subject id	Ain1013	14Ain1013	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1013Pt03A	ERS31168480	14Ain1013Pt03A	biological	host subject id	Ain1013	14Ain1013	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1013Pt05A	ERS31168288	14Ain1013Pt05A	biological	host subject id	Ain1013	14Ain1013	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1014Pt01A	ERS31168108	14Ain1014Pt01A	biological	host subject id	Ain1014	14Ain1014	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1014Pt02A	ERS31168684	14Ain1014Pt02A	biological	host subject id	Ain1014	14Ain1014	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1014Pt03A	ERS31168492	14Ain1014Pt03A	biological	host subject id	Ain1014	14Ain1014	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1014Pt05A	ERS31168300	14Ain1014Pt05A	biological	host subject id	Ain1014	14Ain1014	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1036Cn01A	ERS31168120	14Ain1036Cn01A	biological	host subject id	Ain1036	14Ain1036	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1036Cn02A	ERS31168696	14Ain1036Cn02A	biological	host subject id	Ain1036	14Ain1036	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1036Cn03A	ERS31168504	14Ain1036Cn03A	biological	host subject id	Ain1036	14Ain1036	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1036Cn05A	ERS31168312	14Ain1036Cn05A	biological	host subject id	Ain1036	14Ain1036	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1037Cn01A	ERS31168132	14Ain1037Cn01A	biological	host subject id	Ain1037	14Ain1037	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1037Cn02A	ERS31168708	14Ain1037Cn02A	biological	host subject id	Ain1037	14Ain1037	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1037Cn03A	ERS31168516	14Ain1037Cn03A	biological	host subject id	Ain1037	14Ain1037	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1037Cn05A	ERS31168324	14Ain1037Cn05A	biological	host subject id	Ain1037	14Ain1037	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1038Pt01A	ERS31168049	14Ain1038Pt01A	biological	host subject id	Ain1038	14Ain1038	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1038Pt03A	ERS31168433	14Ain1038Pt03A	biological	host subject id	Ain1038	14Ain1038	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
DURANCE16S_14Ain1038Pt05A	ERS31168241	14Ain1038Pt05A	biological	host subject id	Ain1038	14Ain1038	identifiant rendu unique par prefixe de campagne (25 identifiants reutilises entre 2014 et 2015)
