accession	TITLE	host scientific name	host common name
ERS31168048	Chondrostoma nasus caudal fin bacterial microbiota, Ain 2014, individual 1001	Chondrostoma nasus	nase
ERS31168049	Parachondrostoma toxostoma caudal fin bacterial microbiota, Ain 2014, individual 1038	Parachondrostoma toxostoma	toxostome
ERS31168050	Chondrostoma nasus caudal fin bacterial microbiota, Cab 2015, individual 1003	Chondrostoma nasus	nase
ERS31168051	Parachondrostoma toxostoma caudal fin bacterial microbiota, Cab 2015, individual 1011	Parachondrostoma toxostoma	toxostome
ERS31168052	Parachondrostoma toxostoma caudal fin bacterial microbiota, Cab 2015, individual 1019	Parachondrostoma toxostoma	toxostome
ERS31168053	Chondrostoma nasus caudal fin bacterial microbiota, Avi 2014, individual 1008	Chondrostoma nasus	nase
ERS31168054	Chondrostoma nasus caudal fin bacterial microbiota, Bue 2014, individual 1005	Chondrostoma nasus	nase
ERS31168055	Parachondrostoma toxostoma caudal fin bacterial microbiota, Bue 2014, individual 1015	Parachondrostoma toxostoma	toxostome
ERS31168056	Chondrostoma nasus x Parachondrostoma toxostoma caudal fin bacterial microbiota, Man 2014, individual 1011	Chondrostoma nasus x Parachondrostoma toxostoma	nase x toxostome hybrid
ERS31168057	Parachondrostoma toxostoma caudal fin bacterial microbiota, Man 2014, individual 1019	Parachondrostoma toxostoma	toxostome
ERS31168058	Parachondrostoma toxostoma caudal fin bacterial microbiota, Per 2014, individual 2011	Parachondrostoma toxostoma	toxostome
ERS31168059	Parachondrostoma toxostoma caudal fin bacterial microbiota, Per 2014, individual 2011	Parachondrostoma toxostoma	toxostome
ERS31168060	Chondrostoma nasus caudal fin bacterial microbiota, Ain 2014, individual 1002	Chondrostoma nasus	nase
ERS31168061	Parachondrostoma toxostoma caudal fin bacterial microbiota, Ain 2014, individual 1039	Parachondrostoma toxostoma	toxostome
ERS31168062	Chondrostoma nasus caudal fin bacterial microbiota, Cab 2015, individual 1004	Chondrostoma nasus	nase
ERS31168063	Parachondrostoma toxostoma caudal fin bacterial microbiota, Cab 2015, individual 1012	Parachondrostoma toxostoma	toxostome
ERS31168064	Chondrostoma nasus caudal fin bacterial microbiota, Avi 2014, individual 1001	Chondrostoma nasus	nase
ERS31168065	Chondrostoma nasus caudal fin bacterial microbiota, Avi 2014, individual 1036	Chondrostoma nasus	nase
ERS31168066	Chondrostoma nasus x Parachondrostoma toxostoma caudal fin bacterial microbiota, Bue 2014, individual 1006	Chondrostoma nasus x Parachondrostoma toxostoma	nase x toxostome hybrid
ERS31168067	Chondrostoma nasus x Parachondrostoma toxostoma caudal fin bacterial microbiota, Bue 2014, individual 1016	Chondrostoma nasus x Parachondrostoma toxostoma	nase x toxostome hybrid
ERS31168068	Parachondrostoma toxostoma caudal fin bacterial microbiota, Man 2014, individual 1012	Parachondrostoma toxostoma	toxostome
ERS31168069	Chondrostoma nasus x Parachondrostoma toxostoma caudal fin bacterial microbiota, Man 2014, individual 1020	Chondrostoma nasus x Parachondrostoma toxostoma	nase x toxostome hybrid
ERS31168070	Parachondrostoma toxostoma caudal fin bacterial microbiota, Per 2014, individual 2012	Parachondrostoma toxostoma	toxostome
ERS31168071	Parachondrostoma toxostoma caudal fin bacterial microbiota, Per 2014, individual 2012	Parachondrostoma toxostoma	toxostome
ERS31168072	Parachondrostoma toxostoma caudal fin bacterial microbiota, Ain 2014, individual 1011	Parachondrostoma toxostoma	toxostome
ERS31168073	Parachondrostoma toxostoma caudal fin bacterial microbiota, Ain 2014, individual 1040	Parachondrostoma toxostoma	toxostome
ERS31168074	Chondrostoma nasus caudal fin bacterial microbiota, Cab 2015, individual 1005	Chondrostoma nasus	nase
ERS31168075	Parachondrostoma toxostoma caudal fin bacterial microbiota, Cab 2015, individual 1013	Parachondrostoma toxostoma	toxostome
ERS31168076	Chondrostoma nasus caudal fin bacterial microbiota, Avi 2014, individual 1002	Chondrostoma nasus	nase
ERS31168077	Chondrostoma nasus caudal fin bacterial microbiota, Avi 2014, individual 1037	Chondrostoma nasus	nase
ERS31168078	Chondrostoma nasus caudal fin bacterial microbiota, Bue 2014, individual 1007	Chondrostoma nasus	nase
ERS31168079	Parachondrostoma toxostoma caudal fin bacterial microbiota, Bue 2014, individual 1017	Parachondrostoma toxostoma	toxostome
ERS31168080	Parachondrostoma toxostoma caudal fin bacterial microbiota, Man 2014, individual 1013	Parachondrostoma toxostoma	toxostome
ERS31168081	Chondrostoma nasus x Parachondrostoma toxostoma caudal fin bacterial microbiota, Man 2014, individual 1021	Chondrostoma nasus x Parachondrostoma toxostoma	nase x toxostome hybrid
ERS31168082	Chondrostoma nasus x Parachondrostoma toxostoma caudal fin bacterial microbiota, Per 2014, individual 2013	Chondrostoma nasus x Parachondrostoma toxostoma	nase x toxostome hybrid
ERS31168084	Parachondrostoma toxostoma caudal fin bacterial microbiota, Ain 2014, individual 1012	Parachondrostoma toxostoma	toxostome
ERS31168085	Parachondrostoma toxostoma caudal fin bacterial microbiota, Ain 2014, individual 1041	Parachondrostoma toxostoma	toxostome
ERS31168086	Chondrostoma nasus caudal fin bacterial microbiota, Cab 2015, individual 1006	Chondrostoma nasus	nase
ERS31168087	Parachondrostoma toxostoma caudal fin bacterial microbiota, Cab 2015, individual 1014	Parachondrostoma toxostoma	toxostome
ERS31168088	Chondrostoma nasus caudal fin bacterial microbiota, Avi 2014, individual 1003	Chondrostoma nasus	nase
ERS31168089	Chondrostoma nasus caudal fin bacterial microbiota, Avi 2014, individual 1038	Chondrostoma nasus	nase
ERS31168090	Chondrostoma nasus caudal fin bacterial microbiota, Bue 2014, individual 1008	Chondrostoma nasus	nase
ERS31168091	Parachondrostoma toxostoma caudal fin bacterial microbiota, Bue 2014, individual 1018	Parachondrostoma toxostoma	toxostome
ERS31168092	Parachondrostoma toxostoma caudal fin bacterial microbiota, Man 2014, individual 1014	Parachondrostoma toxostoma	toxostome
ERS31168093	Parachondrostoma toxostoma caudal fin bacterial microbiota, Man 2014, individual 1022	Parachondrostoma toxostoma	toxostome
ERS31168094	Parachondrostoma toxostoma caudal fin bacterial microbiota, Per 2014, individual 2014	Parachondrostoma toxostoma	toxostome
ERS31168096	Parachondrostoma toxostoma caudal fin bacterial microbiota, Ain 2014, individual 1013	Parachondrostoma toxostoma	toxostome
ERS31168097	Parachondrostoma toxostoma caudal fin bacterial microbiota, Ain 2014, individual 1042	Parachondrostoma toxostoma	toxostome
ERS31168098	Chondrostoma nasus caudal fin bacterial microbiota, Cab 2015, individual 1007	Chondrostoma nasus	nase
ERS31168099	Parachondrostoma toxostoma caudal fin bacterial microbiota, Cab 2015, individual 1015	Parachondrostoma toxostoma	toxostome
ERS31168100	Chondrostoma nasus caudal fin bacterial microbiota, Avi 2014, individual 1004	Chondrostoma nasus	nase
ERS31168101	Chondrostoma nasus caudal fin bacterial microbiota, Bue 2014, individual 1001	Chondrostoma nasus	nase
ERS31168102	Parachondrostoma toxostoma caudal fin bacterial microbiota, Bue 2014, individual 1011	Parachondrostoma toxostoma	toxostome
ERS31168103	Parachondrostoma toxostoma caudal fin bacterial microbiota, Bue 2014, individual 1019	Parachondrostoma toxostoma	toxostome
ERS31168104	Parachondrostoma toxostoma caudal fin bacterial microbiota, Man 2014, individual 1015	Parachondrostoma toxostoma	toxostome
ERS31168105	Parachondrostoma toxostoma caudal fin bacterial microbiota, Per 2014, individual 1011	Parachondrostoma toxostoma	toxostome
ERS31168106	Parachondrostoma toxostoma caudal fin bacterial microbiota, Per 2014, individual 2015	Parachondrostoma toxostoma	toxostome
ERS31168108	Parachondrostoma toxostoma caudal fin bacterial microbiota, Ain 2014, individual 1014	Parachondrostoma toxostoma	toxostome
ERS31168109	Parachondrostoma toxostoma caudal fin bacterial microbiota, Ain 2014, individual 1043	Parachondrostoma toxostoma	toxostome
ERS31168110	Chondrostoma nasus caudal fin bacterial microbiota, Cab 2015, individual 1008	Chondrostoma nasus	nase
ERS31168111	Parachondrostoma toxostoma caudal fin bacterial microbiota, Cab 2015, individual 1016	Parachondrostoma toxostoma	toxostome
ERS31168112	Chondrostoma nasus caudal fin bacterial microbiota, Avi 2014, individual 1005	Chondrostoma nasus	nase
ERS31168113	Chondrostoma nasus caudal fin bacterial microbiota, Bue 2014, individual 1002	Chondrostoma nasus	nase
ERS31168114	Parachondrostoma toxostoma caudal fin bacterial microbiota, Bue 2014, individual 1012	Parachondrostoma toxostoma	toxostome
ERS31168115	Parachondrostoma toxostoma caudal fin bacterial microbiota, Man 2014, individual 1001	Parachondrostoma toxostoma	toxostome
ERS31168116	Parachondrostoma toxostoma caudal fin bacterial microbiota, Man 2014, individual 1016	Parachondrostoma toxostoma	toxostome
ERS31168117	Parachondrostoma toxostoma caudal fin bacterial microbiota, Per 2014, individual 1012	Parachondrostoma toxostoma	toxostome
ERS31168120	Chondrostoma nasus caudal fin bacterial microbiota, Ain 2014, individual 1036	Chondrostoma nasus	nase
ERS31168121	Chondrostoma nasus caudal fin bacterial microbiota, Cab 2015, individual 1001	Chondrostoma nasus	nase
ERS31168122	Chondrostoma nasus x Parachondrostoma toxostoma caudal fin bacterial microbiota, Cab 2015, individual 1009	Chondrostoma nasus x Parachondrostoma toxostoma	nase x toxostome hybrid
ERS31168123	Parachondrostoma toxostoma caudal fin bacterial microbiota, Cab 2015, individual 1017	Parachondrostoma toxostoma	toxostome
ERS31168124	Chondrostoma nasus caudal fin bacterial microbiota, Avi 2014, individual 1006	Chondrostoma nasus	nase
ERS31168125	Chondrostoma nasus caudal fin bacterial microbiota, Bue 2014, individual 1003	Chondrostoma nasus	nase
ERS31168126	Parachondrostoma toxostoma caudal fin bacterial microbiota, Bue 2014, individual 1013	Parachondrostoma toxostoma	toxostome
ERS31168127	Chondrostoma nasus x Parachondrostoma toxostoma caudal fin bacterial microbiota, Man 2014, individual 1002	Chondrostoma nasus x Parachondrostoma toxostoma	nase x toxostome hybrid
ERS31168128	Parachondrostoma toxostoma caudal fin bacterial microbiota, Man 2014, individual 1017	Parachondrostoma toxostoma	toxostome
ERS31168129	Parachondrostoma toxostoma caudal fin bacterial microbiota, Per 2014, individual 1013	Parachondrostoma toxostoma	toxostome
ERS31168132	Chondrostoma nasus caudal fin bacterial microbiota, Ain 2014, individual 1037	Chondrostoma nasus	nase
ERS31168133	Chondrostoma nasus caudal fin bacterial microbiota, Cab 2015, individual 1002	Chondrostoma nasus	nase
ERS31168134	Chondrostoma nasus x Parachondrostoma toxostoma caudal fin bacterial microbiota, Cab 2015, individual 1010	Chondrostoma nasus x Parachondrostoma toxostoma	nase x toxostome hybrid
ERS31168135	Parachondrostoma toxostoma caudal fin bacterial microbiota, Cab 2015, individual 1018	Parachondrostoma toxostoma	toxostome
ERS31168136	Chondrostoma nasus caudal fin bacterial microbiota, Avi 2014, individual 1007	Chondrostoma nasus	nase
ERS31168137	Chondrostoma nasus caudal fin bacterial microbiota, Bue 2014, individual 1004	Chondrostoma nasus	nase
ERS31168138	Parachondrostoma toxostoma caudal fin bacterial microbiota, Bue 2014, individual 1014	Parachondrostoma toxostoma	toxostome
ERS31168139	Chondrostoma nasus x Parachondrostoma toxostoma caudal fin bacterial microbiota, Man 2014, individual 1010	Chondrostoma nasus x Parachondrostoma toxostoma	nase x toxostome hybrid
ERS31168140	Parachondrostoma toxostoma caudal fin bacterial microbiota, Man 2014, individual 1018	Parachondrostoma toxostoma	toxostome
ERS31168141	Parachondrostoma toxostoma caudal fin bacterial microbiota, Per 2014, individual 1014	Parachondrostoma toxostoma	toxostome
ERS31168144	Parachondrostoma toxostoma caudal fin bacterial microbiota, Bau 2015, individual 1001	Parachondrostoma toxostoma	toxostome
ERS31168145	Parachondrostoma toxostoma caudal fin bacterial microbiota, Bau 2015, individual 1009	Parachondrostoma toxostoma	toxostome
ERS31168146	Parachondrostoma toxostoma caudal fin bacterial microbiota, Bau 2015, individual 1017	Parachondrostoma toxostoma	toxostome
ERS31168147	Parachondrostoma toxostoma caudal fin bacterial microbiota, Bau 2015, individual 1025	Parachondrostoma toxostoma	toxostome
ERS31168148	Parachondrostoma toxostoma caudal fin bacterial microbiota, Jus 2015, individual 1008	Parachondrostoma toxostoma	toxostome
ERS31168149	Chondrostoma nasus x Parachondrostoma toxostoma caudal fin bacterial microbiota, Jus 2015, individual 1016	Chondrostoma nasus x Parachondrostoma toxostoma	nase x toxostome hybrid
ERS31168150	Chondrostoma nasus caudal fin bacterial microbiota, Caa 2015, individual 1005	Chondrostoma nasus	nase
ERS31168151	Parachondrostoma toxostoma caudal fin bacterial microbiota, Caa 2015, individual 1013	Parachondrostoma toxostoma	toxostome
ERS31168152	Chondrostoma nasus x Parachondrostoma toxostoma caudal fin bacterial microbiota, Avi 2015, individual 1001	Chondrostoma nasus x Parachondrostoma toxostoma	nase x toxostome hybrid
ERS31168153	Chondrostoma nasus caudal fin bacterial microbiota, Avi 2015, individual 1009	Chondrostoma nasus	nase
ERS31168154	Parachondrostoma toxostoma caudal fin bacterial microbiota, Bue 2015, individual 1004	Parachondrostoma toxostoma	toxostome
ERS31168155	Chondrostoma nasus x Parachondrostoma toxostoma caudal fin bacterial microbiota, Bue 2015, individual 1012	Chondrostoma nasus x Parachondrostoma toxostoma	nase x toxostome hybrid
ERS31168156	Parachondrostoma toxostoma caudal fin bacterial microbiota, Bau 2015, individual 1002	Parachondrostoma toxostoma	toxostome
ERS31168157	Chondrostoma nasus x Parachondrostoma toxostoma caudal fin bacterial microbiota, Bau 2015, individual 1010	Chondrostoma nasus x Parachondrostoma toxostoma	nase x toxostome hybrid
ERS31168158	Parachondrostoma toxostoma caudal fin bacterial microbiota, Bau 2015, individual 1018	Parachondrostoma toxostoma	toxostome
ERS31168159	Parachondrostoma toxostoma caudal fin bacterial microbiota, Jus 2015, individual 1001	Parachondrostoma toxostoma	toxostome
ERS31168160	Chondrostoma nasus x Parachondrostoma toxostoma caudal fin bacterial microbiota, Jus 2015, individual 1009	Chondrostoma nasus x Parachondrostoma toxostoma	nase x toxostome hybrid
ERS31168161	Chondrostoma nasus caudal fin bacterial microbiota, Jus 2015, individual 1017	Chondrostoma nasus	nase
ERS31168162	Chondrostoma nasus x Parachondrostoma toxostoma caudal fin bacterial microbiota, Caa 2015, individual 1006	Chondrostoma nasus x Parachondrostoma toxostoma	nase x toxostome hybrid
ERS31168163	Parachondrostoma toxostoma caudal fin bacterial microbiota, Caa 2015, individual 1014	Parachondrostoma toxostoma	toxostome
ERS31168164	Chondrostoma nasus x Parachondrostoma toxostoma caudal fin bacterial microbiota, Avi 2015, individual 1002	Chondrostoma nasus x Parachondrostoma toxostoma	nase x toxostome hybrid
