alias	stem	sample_core	sample_type_ena	sample_type_origine	taxon_name	taxon_id	title	host_scientific_name	host_common_name	host_tissue_sampled	collection_date	geographic_location_country_andor_sea	site_code	host_individual_id	is_control	sample_name_projet	plate	well
DURANCE16S_14Ain1001Cn01A	14Ain1001Cn01A	14Ain1001Cn01A	biological	biological	fish metagenome	496924	Chondrostoma nasus caudal fin bacterial microbiota, Ain 2014, individual 1001	Chondrostoma nasus	nase	caudal fin [UBERON:4000164]	2014	France	Ain	Ain1001	False	14Ain1001Cn01A	1	A01
DURANCE16S_14Ain1038Pt01A	14Ain1038Pt01A	14Ain1038Pt01A	biological	biological	fish metagenome	496924	Parachondrostoma toxostoma caudal fin bacterial microbiota, Ain 2014, individual 1038	Parachondrostoma toxostoma	toxostome	caudal fin [UBERON:4000164]	2014	France	Ain	Ain1038	False	14Ain1038Pt01A	1	A02
DURANCE16S_15Cab1003Ch01A	15Cab1003Ch01A	15Cab1003Ch01A	biological	biological	fish metagenome	496924	Chondrostoma sp. caudal fin bacterial microbiota, Cab 2015, individual 1003	Chondrostoma sp.	Chondrostoma sp.	caudal fin [UBERON:4000164]	2015	France	Cab	Cab1003	False	15Cab1003Ch01A	1	A03
DURANCE16S_15Cab1011Ch01A	15Cab1011Ch01A	15Cab1011Ch01A	biological	biological	fish metagenome	496924	Chondrostoma sp. caudal fin bacterial microbiota, Cab 2015, individual 1011	Chondrostoma sp.	Chondrostoma sp.	caudal fin [UBERON:4000164]	2015	France	Cab	Cab1011	False	15Cab1011Ch01A	1	A04
DURANCE16S_15Cab1019Ch01A	15Cab1019Ch01A	15Cab1019Ch01A	biological	biological	fish metagenome	496924	Chondrostoma sp. caudal fin bacterial microbiota, Cab 2015, individual 1019	Chondrostoma sp.	Chondrostoma sp.	caudal fin [UBERON:4000164]	2015	France	Cab	Cab1019	False	15Cab1019Ch01A	1	A05
DURANCE16S_14Avi1008Cn01A	14Avi1008Cn01A	14Avi1008Cn01A	biological	biological	fish metagenome	496924	Chondrostoma nasus caudal fin bacterial microbiota, Avi 2014, individual 1008	Chondrostoma nasus	nase	caudal fin [UBERON:4000164]	2014	France	Avi	Avi1008	False	14Avi1008Cn01A	1	A06
DURANCE16S_14Bue1005Cn01A	14Bue1005Cn01A	14Bue1005Cn01A	biological	biological	fish metagenome	496924	Chondrostoma nasus caudal fin bacterial microbiota, Bue 2014, individual 1005	Chondrostoma nasus	nase	caudal fin [UBERON:4000164]	2014	France	Bue	Bue1005	False	14Bue1005Cn01A	1	A07
DURANCE16S_14Bue1015Ch01A	14Bue1015Ch01A	14Bue1015Ch01A	biological	biological	fish metagenome	496924	Chondrostoma sp. caudal fin bacterial microbiota, Bue 2014, individual 1015	Chondrostoma sp.	Chondrostoma sp.	caudal fin [UBERON:4000164]	2014	France	Bue	Bue1015	False	14Bue1015Ch01A	1	A08
DURANCE16S_14Man1011Ch01A	14Man1011Ch01A	14Man1011Ch01A	biological	biological	fish metagenome	496924	Chondrostoma sp. caudal fin bacterial microbiota, Man 2014, individual 1011	Chondrostoma sp.	Chondrostoma sp.	caudal fin [UBERON:4000164]	2014	France	Man	Man1011	False	14Man1011Ch01A	1	A09
DURANCE16S_14Man1019Ch01A	14Man1019Ch01A	14Man1019Ch01A	biological	biological	fish metagenome	496924	Chondrostoma sp. caudal fin bacterial microbiota, Man 2014, individual 1019	Chondrostoma sp.	Chondrostoma sp.	caudal fin [UBERON:4000164]	2014	France	Man	Man1019	False	14Man1019Ch01A	1	A10
