dada2_id,individual_id,run_label,library,tissue,site_code,station,riviere,latitude,longitude,date_collecte,annee,individual,categorie,categorie_aout_12chr,type_genome,inclus_passe1,qvalues_foie,index_mediane_andre,delta_mediane_quart,taxon_code_avant_genotypage,plate,well,well_row,well_col,col_rank_site,col_rank_station,qc_flag
14Ain1001Cn01A__durance1,2014_Ain_1001,durance1,A,caudale,Ain,Pont-d'Ain,Suran,46.048,5.324,2014-08-12,2014,1001,Cn,Cn,pur,True,True,0.9999,0.02987200000000001,Cn,1,A01,A,01,1,1,
14Ain1038Pt01A__durance1,2014_Ain_1038,durance1,A,caudale,Ain,Chavannes-sur-Suran,Suran,46.264389,5.429444,2014-08-12,2014,1038,Pt,Pt,pur,True,True,0.0001,0.0105608,Pt,1,A02,A,02,2,2,
15Cab1003Ch01A__durance1,2015_Cab_1003,durance1,A,caudale,Cab,Pont-d'Ain,Suran,46.048,5.324,2015-08-26,2015,1003,Cn,Cn,pur,True,True,0.9790135,0.04033549999999997,Ch,1,A03,A,03,2,3,
15Cab1011Ch01A__durance1,2015_Cab_1011,durance1,A,caudale,Cab,Chavannes-sur-Suran,Suran,46.264389,5.429444,2015-08-26,2015,1011,Pt,Pt,pur,True,False,0.00042399999999997995,0.0,Ch,1,A04,A,04,3,4,
15Cab1019Ch01A__durance1,2015_Cab_1019,durance1,A,caudale,Cab,Chavannes-sur-Suran,Suran,46.264389,5.429444,2015-08-26,2015,1019,Pt,Pt,pur,True,True,0.0001,0.0,Ch,1,A05,A,05,4,5,
14Avi1008Cn01A__durance1,2014_Avi_1008,durance1,A,caudale,Avi,Avignon,Durance,43.913,4.820722,2014-07-17;2015-07-10,2014,1008,Cn,Cn,pur,True,True,0.9790425,0.04159250000000003,Cn,1,A06,A,06,2,2,
14Bue1005Cn01A__durance1,2014_Bue_1005,durance1,A,caudale,Bue,Confluence Buech-Meouge,Buech,44.262,5.828,2014-07-03;2015-07-17,2014,1005,Cn,Cn,pur,True,True,0.996529,0.015122999999999998,Cn,1,A07,A,07,2,2,mock_contaminated
14Bue1015Ch01A__durance1,2014_Bue_1015,durance1,A,caudale,Bue,Confluence Buech-Meouge,Buech,44.262,5.828,2014-07-03;2015-07-17,2014,1015,Pt,Pt,pur,True,True,0.0001,0.027206,Ch,1,A08,A,08,3,3,
14Man1011Ch01A__durance1,2014_Man_1011,durance1,A,caudale,Man,Manosque-Oraison,Durance,43.919667,5.896278,2014-07-23,2014,1011,Hy,Pt,quasi-pur,False,True,0.0001,0.0034689200000000003,Ch,1,A09,A,09,2,2,
14Man1019Ch01A__durance1,2014_Man_1019,durance1,A,caudale,Man,Manosque-Oraison,Durance,43.919667,5.896278,2014-07-23,2014,1019,Pt,Pt,pur,True,True,0.0001,0.00794395,Ch,1,A10,A,10,3,3,
14Per2011Ch01A__durance1,2014_Per_2011,durance1,A,caudale,Per,Pertuis,Durance,43.668139,5.493,2014-07-07;2014-08-20,2014,2011,Pt,Pt,pur,True,True,0.0001,0.0198136,Ch,1,A11,A,11,2,2,
14Per2011Ch01A-bis__durance1,2014_Per_2011,durance1,A,caudale,Per,Pertuis,Durance,43.668139,5.493,2014-07-07;2014-08-20,2014,2011,Pt,Pt,pur,True,True,0.0001,0.0198136,Ch,1,A12,A,12,3,3,
14Ain1002Cn01A__durance1,2014_Ain_1002,durance1,A,caudale,Ain,Pont-d'Ain,Suran,46.048,5.324,2014-08-12,2014,1002,Cn,Cn,pur,True,True,0.9999,0.027077000000000018,Cn,1,B01,B,01,1,1,
14Ain1039Pt01A__durance1,2014_Ain_1039,durance1,A,caudale,Ain,Chavannes-sur-Suran,Suran,46.264389,5.429444,2014-08-12,2014,1039,Pt,Pt,pur,True,True,0.0001,0.0118913,Pt,1,B02,B,02,2,2,
15Cab1004Ch01A__durance1,2015_Cab_1004,durance1,A,caudale,Cab,Pont-d'Ain,Suran,46.048,5.324,2015-08-26,2015,1004,Cn,Cn,pur,True,True,0.9916195,0.051615500000000036,Ch,1,B03,B,03,2,3,
15Cab1012Ch01A__durance1,2015_Cab_1012,durance1,A,caudale,Cab,Chavannes-sur-Suran,Suran,46.264389,5.429444,2015-08-26,2015,1012,Pt,Pt,pur,True,True,0.0001,0.0024834600000000003,Ch,1,B04,B,04,3,4,
14Avi1001Cn01A__durance1,2014_Avi_1001,durance1,A,caudale,Avi,Avignon,Durance,43.913,4.820722,2014-07-17;2015-07-10,2014,1001,Cn,Cn,pur,True,True,0.9999,0.014294000000000029,Cn,1,B05,B,05,1,1,
14Avi1036Cn01A__durance1,2014_Avi_1036,durance1,A,caudale,Avi,Avignon,Durance,43.913,4.820722,2014-07-17;2015-07-10,2014,1036,Cn,Cn,pur,True,True,0.9999,0.025182000000000038,Cn,1,B06,B,06,2,2,
14Bue1006Cn01A__durance1,2014_Bue_1006,durance1,A,caudale,Bue,Confluence Buech-Meouge,Buech,44.262,5.828,2014-07-03;2015-07-17,2014,1006,Hy,Hy,intermediaire,True,True,0.9466924999999999,0.09561849999999994,Cn,1,B07,B,07,2,2,
14Bue1016Ch01A__durance1,2014_Bue_1016,durance1,A,caudale,Bue,Confluence Buech-Meouge,Buech,44.262,5.828,2014-07-03;2015-07-17,2014,1016,Hy,Pt,quasi-pur,False,True,0.0001,0.025033800000000002,Ch,1,B08,B,08,3,3,
14Man1012Ch01A__durance1,2014_Man_1012,durance1,A,caudale,Man,Manosque-Oraison,Durance,43.919667,5.896278,2014-07-23,2014,1012,Pt,Pt,pur,True,True,0.0001,0.00126172,Ch,1,B09,B,09,2,2,
14Man1020Ch01A__durance1,2014_Man_1020,durance1,A,caudale,Man,Manosque-Oraison,Durance,43.919667,5.896278,2014-07-23,2014,1020,Hy,Pt,quasi-pur,False,True,0.0001,0.00115361,Ch,1,B10,B,10,3,3,
14Per2012Ch01A__durance1,2014_Per_2012,durance1,A,caudale,Per,Pertuis,Durance,43.668139,5.493,2014-07-07;2014-08-20,2014,2012,Pt,Pt,pur,True,True,0.0001,0.0,Ch,1,B11,B,11,2,2,
14Per2012Ch01A-bis__durance1,2014_Per_2012,durance1,A,caudale,Per,Pertuis,Durance,43.668139,5.493,2014-07-07;2014-08-20,2014,2012,Pt,Pt,pur,True,True,0.0001,0.0,Ch,1,B12,B,12,3,3,
14Ain1011Pt01A__durance1,2014_Ain_1011,durance1,A,caudale,Ain,Chavannes-sur-Suran,Suran,46.264389,5.429444,2014-08-12,2014,1011,Pt,Pt,pur,True,True,0.0001,0.00132522,Pt,1,C01,C,01,1,1,
14Ain1040Pt01A__durance1,2014_Ain_1040,durance1,A,caudale,Ain,Chavannes-sur-Suran,Suran,46.264389,5.429444,2014-08-12,2014,1040,Pt,Pt,pur,True,True,0.0001,0.029344600000000002,Pt,1,C02,C,02,2,2,
15Cab1005Ch01A__durance1,2015_Cab_1005,durance1,A,caudale,Cab,Pont-d'Ain,Suran,46.048,5.324,2015-08-26,2015,1005,Cn,Cn,pur,True,True,0.9999,0.04226799999999997,Ch,1,C03,C,03,2,3,
15Cab1013Ch01A__durance1,2015_Cab_1013,durance1,A,caudale,Cab,Chavannes-sur-Suran,Suran,46.264389,5.429444,2015-08-26,2015,1013,Pt,Pt,pur,True,True,0.0001,0.0639904,Ch,1,C04,C,04,3,4,
14Avi1002Cn01A__durance1,2014_Avi_1002,durance1,A,caudale,Avi,Avignon,Durance,43.913,4.820722,2014-07-17;2015-07-10,2014,1002,Cn,Cn,pur,True,True,0.9999,0.01569799999999999,Cn,1,C05,C,05,1,1,
14Avi1037-01A__durance1,2014_Avi_1037,durance1,A,caudale,Avi,Avignon,Durance,43.913,4.820722,2014-07-17;2015-07-10,2014,1037,Cn,Cn,pur,True,True,0.9999,0.114066,Cn,1,C06,C,06,2,2,
14Bue1007Cn01A__durance1,2014_Bue_1007,durance1,A,caudale,Bue,Confluence Buech-Meouge,Buech,44.262,5.828,2014-07-03;2015-07-17,2014,1007,Cn,Cn,pur,True,True,0.9999,0.013390000000000013,Cn,1,C07,C,07,2,2,
14Bue1017Ch01A__durance1,2014_Bue_1017,durance1,A,caudale,Bue,Confluence Buech-Meouge,Buech,44.262,5.828,2014-07-03;2015-07-17,2014,1017,Pt,Pt,pur,True,True,0.0001,0.0436135,Ch,1,C08,C,08,3,3,
14Man1013Ch01A__durance1,2014_Man_1013,durance1,A,caudale,Man,Manosque-Oraison,Durance,43.919667,5.896278,2014-07-23,2014,1013,Pt,Pt,pur,True,True,0.0001,0.0236388,Ch,1,C09,C,09,2,2,
14Man1021Ch01A__durance1,2014_Man_1021,durance1,A,caudale,Man,Manosque-Oraison,Durance,43.919667,5.896278,2014-07-23,2014,1021,Hy,Hy,intermediaire,True,True,0.2179825,0.1247321,Ch,1,C10,C,10,3,3,
14Per2013Ch01A__durance1,2014_Per_2013,durance1,A,caudale,Per,Pertuis,Durance,43.668139,5.493,2014-07-07;2014-08-20,2014,2013,Hy,Hy,intermediaire,True,True,0.2097815,0.1761465,Ch,1,C11,C,11,2,2,
14Ain1012Pt01A__durance1,2014_Ain_1012,durance1,A,caudale,Ain,Chavannes-sur-Suran,Suran,46.264389,5.429444,2014-08-12,2014,1012,Pt,Pt,pur,True,True,0.0001,0.034025599999999996,Pt,1,D01,D,01,1,1,
14Ain1041Pt01A__durance1,2014_Ain_1041,durance1,A,caudale,Ain,Chavannes-sur-Suran,Suran,46.264389,5.429444,2014-08-12,2014,1041,Pt,Pt,pur,True,True,0.0001,0.0032175100000000002,Pt,1,D02,D,02,2,2,
15Cab1006Ch01A__durance1,2015_Cab_1006,durance1,A,caudale,Cab,Pont-d'Ain,Suran,46.048,5.324,2015-08-26,2015,1006,Cn,Cn,pur,True,True,0.9676345,0.0767025,Ch,1,D03,D,03,2,3,
15Cab1014Ch01A__durance1,2015_Cab_1014,durance1,A,caudale,Cab,Chavannes-sur-Suran,Suran,46.264389,5.429444,2015-08-26,2015,1014,Pt,Pt,pur,True,True,0.0001,0.0,Ch,1,D04,D,04,3,4,
14Avi1003Cn01A__durance1,2014_Avi_1003,durance1,A,caudale,Avi,Avignon,Durance,43.913,4.820722,2014-07-17;2015-07-10,2014,1003,Cn,Cn,pur,True,True,0.9999,0.002593999999999985,Cn,1,D05,D,05,1,1,
14Avi1038Cn01A__durance1,2014_Avi_1038,durance1,A,caudale,Avi,Avignon,Durance,43.913,4.820722,2014-07-17;2015-07-10,2014,1038,Cn,Cn,pur,True,True,0.9999,0.017442999999999986,Cn,1,D06,D,06,2,2,
14Bue1008Cn01A__durance1,2014_Bue_1008,durance1,A,caudale,Bue,Confluence Buech-Meouge,Buech,44.262,5.828,2014-07-03;2015-07-17,2014,1008,Cn,Cn,pur,True,True,0.9999,0.019206999999999974,Cn,1,D07,D,07,2,2,
14Bue1018Ch01A__durance1,2014_Bue_1018,durance1,A,caudale,Bue,Confluence Buech-Meouge,Buech,44.262,5.828,2014-07-03;2015-07-17,2014,1018,Pt,Pt,pur,True,True,0.0001,0.009559940000000001,Ch,1,D08,D,08,3,3,
14Man1014Ch01A__durance1,2014_Man_1014,durance1,A,caudale,Man,Manosque-Oraison,Durance,43.919667,5.896278,2014-07-23,2014,1014,Pt,Pt,pur,True,True,0.0001,0.0023953100000000003,Ch,1,D09,D,09,2,2,
14Man1022Ch01A__durance1,2014_Man_1022,durance1,A,caudale,Man,Manosque-Oraison,Durance,43.919667,5.896278,2014-07-23,2014,1022,Pt,Pt,pur,True,True,0.0001,0.010545200000000001,Ch,1,D10,D,10,3,3,
14Per2014Ch01A__durance1,2014_Per_2014,durance1,A,caudale,Per,Pertuis,Durance,43.668139,5.493,2014-07-07;2014-08-20,2014,2014,Pt,Pt,pur,True,True,0.0001,0.0,Ch,1,D11,D,11,2,2,
14Ain1013Pt01A__durance1,2014_Ain_1013,durance1,A,caudale,Ain,Chavannes-sur-Suran,Suran,46.264389,5.429444,2014-08-12,2014,1013,Pt,Pt,pur,True,True,0.0001,0.0099728,Pt,1,E01,E,01,1,1,
14Ain1042Pt01A__durance1,2014_Ain_1042,durance1,A,caudale,Ain,Chavannes-sur-Suran,Suran,46.264389,5.429444,2014-08-12,2014,1042,Pt,Pt,pur,True,True,0.0001,0.0252761,Pt,1,E02,E,02,2,2,
15Cab1007Ch01A__durance1,2015_Cab_1007,durance1,A,caudale,Cab,Pont-d'Ain,Suran,46.048,5.324,2015-08-26,2015,1007,Cn,Cn,pur,True,True,0.986855,0.040076,Ch,1,E03,E,03,2,3,
15Cab1015Ch01A__durance1,2015_Cab_1015,durance1,A,caudale,Cab,Chavannes-sur-Suran,Suran,46.264389,5.429444,2015-08-26,2015,1015,Pt,Pt,pur,True,True,0.0001,0.0122371,Ch,1,E04,E,04,3,4,
14Avi1004Cn01A__durance1,2014_Avi_1004,durance1,A,caudale,Avi,Avignon,Durance,43.913,4.820722,2014-07-17;2015-07-10,2014,1004,Cn,Cn,pur,True,True,0.9999,0.01977300000000004,Cn,1,E05,E,05,1,1,
14Bue1001Cn01A__durance1,2014_Bue_1001,durance1,A,caudale,Bue,Confluence Buech-Meouge,Buech,44.262,5.828,2014-07-03;2015-07-17,2014,1001,Cn,Cn,pur,True,False,0.9878026,0.0,Cn,1,E06,E,06,1,1,mock_contaminated
14Bue1011Ch01A__durance1,2014_Bue_1011,durance1,A,caudale,Bue,Confluence Buech-Meouge,Buech,44.262,5.828,2014-07-03;2015-07-17,2014,1011,Pt,Pt,pur,True,True,0.0001,0.0232161,Ch,1,E07,E,07,2,2,
14Bue1019Ch01A__durance1,2014_Bue_1019,durance1,A,caudale,Bue,Confluence Buech-Meouge,Buech,44.262,5.828,2014-07-03;2015-07-17,2014,1019,Pt,Pt,pur,True,True,0.0001,0.0,Ch,1,E08,E,08,3,3,
14Man1015Ch01A__durance1,2014_Man_1015,durance1,A,caudale,Man,Manosque-Oraison,Durance,43.919667,5.896278,2014-07-23,2014,1015,Pt,Pt,pur,True,True,0.0001,0.0,Ch,1,E09,E,09,2,2,
14Per1011Ch01A__durance1,2014_Per_1011,durance1,A,caudale,Per,Pertuis,Durance,43.668139,5.493,2014-07-07;2014-08-20,2014,1011,Pt,Pt,pur,True,True,0.0001,0.01805,Ch,1,E10,E,10,1,1,
14Per2015Ch01A__durance1,2014_Per_2015,durance1,A,caudale,Per,Pertuis,Durance,43.668139,5.493,2014-07-07;2014-08-20,2014,2015,Pt,Pt,pur,True,True,0.0001,0.0,Ch,1,E11,E,11,2,2,
14Ain1014Pt01A__durance1,2014_Ain_1014,durance1,A,caudale,Ain,Chavannes-sur-Suran,Suran,46.264389,5.429444,2014-08-12,2014,1014,Pt,Pt,pur,True,True,0.0001,0.0193883,Pt,1,F01,F,01,1,1,
14Ain1043Pt01A__durance1,2014_Ain_1043,durance1,A,caudale,Ain,Chavannes-sur-Suran,Suran,46.264389,5.429444,2014-08-12,2014,1043,Pt,Pt,pur,True,True,0.0001,0.0059209399999999995,Pt,1,F02,F,02,2,2,mock_contaminated
15Cab1008Ch01A__durance1,2015_Cab_1008,durance1,A,caudale,Cab,Pont-d'Ain,Suran,46.048,5.324,2015-08-26,2015,1008,Cn,Cn,pur,True,True,0.997914,0.01697700000000002,Ch,1,F03,F,03,2,3,
15Cab1016Ch01A__durance1,2015_Cab_1016,durance1,A,caudale,Cab,Chavannes-sur-Suran,Suran,46.264389,5.429444,2015-08-26,2015,1016,Pt,Pt,pur,True,True,0.0001,0.00194113,Ch,1,F04,F,04,3,4,
14Avi1005Cn01A__durance1,2014_Avi_1005,durance1,A,caudale,Avi,Avignon,Durance,43.913,4.820722,2014-07-17;2015-07-10,2014,1005,Cn,Cn,pur,True,True,0.9999,0.08110799999999996,Cn,1,F05,F,05,1,1,
14Bue1002Cn01A__durance1,2014_Bue_1002,durance1,A,caudale,Bue,Confluence Buech-Meouge,Buech,44.262,5.828,2014-07-03;2015-07-17,2014,1002,Cn,Cn,pur,True,False,0.989712,0.0,Cn,1,F06,F,06,1,1,
14Bue1012Ch01A__durance1,2014_Bue_1012,durance1,A,caudale,Bue,Confluence Buech-Meouge,Buech,44.262,5.828,2014-07-03;2015-07-17,2014,1012,Pt,Pt,pur,True,True,0.0001,0.0,Ch,1,F07,F,07,2,2,
14Man1001Cn01A__durance1,2014_Man_1001,durance1,A,caudale,Man,Manosque-Oraison,Durance,43.919667,5.896278,2014-07-23,2014,1001,Pt,Pt,pur,True,True,0.0001,0.0031458500000000004,Cn,1,F08,F,08,1,1,
