individual_id,site_code,site_nom,riviere,role_population,annee,individual,taxon_code_actuel,espece_actuelle,sexe,taille_cm,poids_g,n_tissus_sequences,tissus,Individu,taxon_code_index,mediane des Index par chromosome,delta_mediane_quart
2014_Ain_1001,Ain,Ain,Ain,allopatrie,2014,1001,Cn,Chondrostoma nasus,M,30.0,419.0,4,branchie;caudale;hindgut;midgut,14Ain1001,Cn,0.9999,0.02987200000000001
2014_Ain_1002,Ain,Ain,Ain,allopatrie,2014,1002,Cn,Chondrostoma nasus,M,30.0,399.0,4,branchie;caudale;hindgut;midgut,14Ain1002,Cn,0.9999,0.027077000000000018
2014_Ain_1011,Ain,Ain,Ain,allopatrie,2014,1011,Pt,Parachondrostoma toxostoma,M,15.0,39.0,4,branchie;caudale;hindgut;midgut,14Ain1011,Pt,0.0001,0.00132522
2014_Ain_1012,Ain,Ain,Ain,allopatrie,2014,1012,Pt,Parachondrostoma toxostoma,F,17.5,62.0,4,branchie;caudale;hindgut;midgut,14Ain1012,Pt,0.0001,0.034025599999999996
2014_Ain_1013,Ain,Ain,Ain,allopatrie,2014,1013,Pt,Parachondrostoma toxostoma,M,14.0,32.0,4,branchie;caudale;hindgut;midgut,14Ain1013,Pt,0.0001,0.0099728
2014_Ain_1014,Ain,Ain,Ain,allopatrie,2014,1014,Pt,Parachondrostoma toxostoma,M,15.0,38.0,4,branchie;caudale;hindgut;midgut,14Ain1014,Pt,0.0001,0.0193883
2014_Ain_1036,Ain,Ain,Ain,allopatrie,2014,1036,Cn,Chondrostoma nasus,M,33.0,495.0,4,branchie;caudale;hindgut;midgut,14Ain1036,Cn,0.9634205,0.05584849999999997
2014_Ain_1037,Ain,Ain,Ain,allopatrie,2014,1037,Cn,Chondrostoma nasus,F,39.5,857.0,4,branchie;caudale;hindgut;midgut,14Ain1037,Cn,0.9999,0.021923000000000026
2014_Ain_1038,Ain,Ain,Ain,allopatrie,2014,1038,Pt,Parachondrostoma toxostoma,X,10.5,10.0,3,branchie;caudale;hindgut,14Ain1038,Pt,0.0001,0.0105608
2014_Ain_1039,Ain,Ain,Ain,allopatrie,2014,1039,Pt,Parachondrostoma toxostoma,F,20.0,83.0,4,branchie;caudale;hindgut;midgut,14Ain1039,Pt,0.0001,0.0118913
2014_Ain_1040,Ain,Ain,Ain,allopatrie,2014,1040,Pt,Parachondrostoma toxostoma,F,18.5,73.0,4,branchie;caudale;hindgut;midgut,14Ain1040,Pt,0.0001,0.029344600000000002
2014_Ain_1041,Ain,Ain,Ain,allopatrie,2014,1041,Pt,Parachondrostoma toxostoma,F,20.0,102.0,4,branchie;caudale;hindgut;midgut,14Ain1041,Pt,0.0001,0.0032175100000000002
2014_Ain_1042,Ain,Ain,Ain,allopatrie,2014,1042,Pt,Parachondrostoma toxostoma,F,13.5,28.0,4,branchie;caudale;hindgut;midgut,14Ain1042,Pt,0.0001,0.0252761
2014_Ain_1043,Ain,Ain,Ain,allopatrie,2014,1043,Pt,Parachondrostoma toxostoma,F,13.0,23.0,4,branchie;caudale;hindgut;midgut,14Ain1043,Pt,0.0001,0.0059209399999999995
2014_Avi_1001,Avi,Avignon,Durance,asym. Hotu,2014,1001,Cn,Chondrostoma nasus,M,29.5,315.0,4,branchie;caudale;hindgut;midgut,14Avi1001,Cn,0.9999,0.014294000000000029
2014_Avi_1002,Avi,Avignon,Durance,asym. Hotu,2014,1002,Cn,Chondrostoma nasus,X,10.0,10.0,4,branchie;caudale;hindgut;midgut,14Avi1002,Cn,0.9999,0.01569799999999999
2014_Avi_1003,Avi,Avignon,Durance,asym. Hotu,2014,1003,Cn,Chondrostoma nasus,M,27.5,259.0,4,branchie;caudale;hindgut;midgut,14Avi1003,Cn,0.9999,0.002593999999999985
2014_Avi_1004,Avi,Avignon,Durance,asym. Hotu,2014,1004,Cn,Chondrostoma nasus,M,25.5,228.0,4,branchie;caudale;hindgut;midgut,14Avi1004,Cn,0.9999,0.01977300000000004
2014_Avi_1005,Avi,Avignon,Durance,asym. Hotu,2014,1005,Cn,Chondrostoma nasus,X,12.0,18.0,4,branchie;caudale;hindgut;midgut,14Avi1005,Cn,0.9999,0.08110799999999996
2014_Avi_1006,Avi,Avignon,Durance,asym. Hotu,2014,1006,Cn,Chondrostoma nasus,X,11.0,13.0,4,branchie;caudale;hindgut;midgut,14Avi1006,Cn,0.9999,0.03937199999999996
2014_Avi_1007,Avi,Avignon,Durance,asym. Hotu,2014,1007,Cn,Chondrostoma nasus,X,10.0,11.0,4,branchie;caudale;hindgut;midgut,14Avi1007,Cn,0.9999,0.010548000000000002
2014_Avi_1008,Avi,Avignon,Durance,asym. Hotu,2014,1008,Cn,Chondrostoma nasus,X,12.5,19.0,4,branchie;caudale;hindgut;midgut,14Avi1008,Cn,0.9790425,0.04159250000000003
2014_Avi_1036,Avi,Avignon,Durance,asym. Hotu,2014,1036,Cn,Chondrostoma nasus,M,27.0,225.0,4,branchie;caudale;hindgut;midgut,14Avi1036,Cn,0.9999,0.025182000000000038
2014_Avi_1037,Avi,Avignon,Durance,asym. Hotu,2014,1037,Cn,Chondrostoma nasus,M,35.0,572.0,4,branchie;caudale;hindgut;midgut,14Avi1037,Cn,0.9999,0.114066
2014_Avi_1038,Avi,Avignon,Durance,asym. Hotu,2014,1038,Cn,Chondrostoma nasus,M,34.5,525.0,4,branchie;caudale;hindgut;midgut,14Avi1038,Cn,0.9999,0.017442999999999986
2014_Bue_1001,Bue,Büech,Durance,sympatrie+hyb,2014,1001,Cn,Chondrostoma nasus,,15.5,28.0,4,branchie;caudale;hindgut;midgut,14Bue1001,Cn,0.9878026,0.0
2014_Bue_1002,Bue,Büech,Durance,sympatrie+hyb,2014,1002,Cn,Chondrostoma nasus,,13.5,17.0,4,branchie;caudale;hindgut;midgut,14Bue1002,Cn,0.989712,0.0
2014_Bue_1003,Bue,Büech,Durance,sympatrie+hyb,2014,1003,Cn,Chondrostoma nasus,,18.0,39.0,4,branchie;caudale;hindgut;midgut,14Bue1003,Cn,0.9999,0.05878899999999998
