individual_id,site_code,site_nom,riviere,annee,individual,taxon_morpho,classe_genotype,index_median,D,classe_selon_regles,sexe,taille_cm,n_tissus,bloc_numerotation,utilisable_3000,n_tissus_utilisables
2014_Ain_1001,Ain,Ain,Ain,2014,1001,Cn,Cn,0.9999,0.02987200000000001,pur Cn,M,30.0,4,A (1001-1010),True,4
2014_Ain_1002,Ain,Ain,Ain,2014,1002,Cn,Cn,0.9999,0.027077000000000018,pur Cn,M,30.0,4,A (1001-1010),True,4
2014_Ain_1011,Ain,Ain,Ain,2014,1011,Pt,Pt,0.0001,0.00132522,pur Pt,M,15.0,4,B (>1010),True,4
2014_Ain_1012,Ain,Ain,Ain,2014,1012,Pt,Pt,0.0001,0.034025599999999996,pur Pt,F,17.5,4,B (>1010),True,4
2014_Ain_1013,Ain,Ain,Ain,2014,1013,Pt,Pt,0.0001,0.0099728,pur Pt,M,14.0,4,B (>1010),True,4
2014_Ain_1014,Ain,Ain,Ain,2014,1014,Pt,Pt,0.0001,0.0193883,pur Pt,M,15.0,4,B (>1010),True,4
2014_Ain_1036,Ain,Ain,Ain,2014,1036,Cn,Cn,0.9634205,0.05584849999999997,pur Cn,M,33.0,4,B (>1010),True,4
2014_Ain_1037,Ain,Ain,Ain,2014,1037,Cn,Cn,0.9999,0.021923000000000026,pur Cn,F,39.5,4,B (>1010),True,4
2014_Ain_1038,Ain,Ain,Ain,2014,1038,Pt,Pt,0.0001,0.0105608,pur Pt,X,10.5,3,B (>1010),True,3
2014_Ain_1039,Ain,Ain,Ain,2014,1039,Pt,Pt,0.0001,0.0118913,pur Pt,F,20.0,4,B (>1010),True,3
2014_Ain_1040,Ain,Ain,Ain,2014,1040,Pt,Pt,0.0001,0.029344600000000002,pur Pt,F,18.5,4,B (>1010),True,4
2014_Ain_1041,Ain,Ain,Ain,2014,1041,Pt,Pt,0.0001,0.0032175100000000002,pur Pt,F,20.0,4,B (>1010),True,4
2014_Ain_1042,Ain,Ain,Ain,2014,1042,Pt,Pt,0.0001,0.0252761,pur Pt,F,13.5,4,B (>1010),True,4
2014_Ain_1043,Ain,Ain,Ain,2014,1043,Pt,Pt,0.0001,0.0059209399999999995,pur Pt,F,13.0,4,B (>1010),True,2
2014_Avi_1001,Avi,Avignon,Durance,2014,1001,Cn,Cn,0.9999,0.014294000000000029,pur Cn,M,29.5,4,A (1001-1010),True,3
2014_Avi_1002,Avi,Avignon,Durance,2014,1002,Cn,Cn,0.9999,0.01569799999999999,pur Cn,X,10.0,4,A (1001-1010),True,3
2014_Avi_1003,Avi,Avignon,Durance,2014,1003,Cn,Cn,0.9999,0.002593999999999985,pur Cn,M,27.5,4,A (1001-1010),True,4
2014_Avi_1004,Avi,Avignon,Durance,2014,1004,Cn,Cn,0.9999,0.01977300000000004,pur Cn,M,25.5,4,A (1001-1010),True,4
2014_Avi_1005,Avi,Avignon,Durance,2014,1005,Cn,Cn,0.9999,0.08110799999999996,pur Cn,X,12.0,4,A (1001-1010),True,3
2014_Avi_1006,Avi,Avignon,Durance,2014,1006,Cn,Cn,0.9999,0.03937199999999996,pur Cn,X,11.0,4,A (1001-1010),True,3
2014_Avi_1007,Avi,Avignon,Durance,2014,1007,Cn,Cn,0.9999,0.010548000000000002,pur Cn,X,10.0,4,A (1001-1010),True,3
