individual_id,site_code,site_nom,riviere,role_population,annee,individual,taxon_code_actuel,espece_actuelle,sexe,taille_cm,poids_g,n_tissus_sequences,tissus,index_hybride,index_hybride_source
2014_Ain_1001,Ain,Ain,Ain,allopatrie,2014,1001,Cn,Chondrostoma nasus,M,30,419,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2014_Ain_1038,Ain,Ain,Ain,allopatrie,2014,1038,Pt,Parachondrostoma toxostoma,X,10.5,10,3,branchie;caudale;hindgut,1,connu (Cn=0/Pt=1)
2015_Cab_1003,Cab,Ain,Ain,allopatrie,2015,1003,Ch,Chondrostoma sp.,M,19,86,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Cab_1011,Cab,Ain,Ain,allopatrie,2015,1011,Ch,Chondrostoma sp.,,,,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Cab_1019,Cab,Ain,Ain,allopatrie,2015,1019,Ch,Chondrostoma sp.,M,18,69,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Avi_1008,Avi,Avignon,Durance,asym. Hotu,2014,1008,Cn,Chondrostoma nasus,X,12.5,19,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2014_Bue_1005,Bue,Büech,Durance,sympatrie+hyb,2014,1005,Cn,Chondrostoma nasus,NA,29,167,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2014_Bue_1015,Bue,Büech,Durance,sympatrie+hyb,2014,1015,Ch,Chondrostoma sp.,NA,12.5,15,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Man_1011,Man,Manosque,Durance,à statuer,2014,1011,Ch,Chondrostoma sp.,M,13.5,29,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Man_1019,Man,Manosque,Durance,à statuer,2014,1019,Ch,Chondrostoma sp.,X,9.5,11,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Per_2011,Per,?,?,à statuer,2014,2011,Ch,Chondrostoma sp.,F,16,61,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Ain_1002,Ain,Ain,Ain,allopatrie,2014,1002,Cn,Chondrostoma nasus,M,30,399,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
