dada2_id,sample_type_original,mock_fraction,n_tissus_individu,tissu,qc_flag,reason
14Bue1005Cn01A__durance3,biological,0.6465,4,caudale,mock_contaminated,"65% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits A07"
14Bue1005Cn01A__durance2,biological,0.6448,4,caudale,mock_contaminated,"64% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits A07"
14Man1022Ch05A__durance3,biological,0.5650,4,branchie,mock_contaminated,"57% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits D10"
14Man1022Ch05A__durance2,biological,0.5569,4,branchie,mock_contaminated,"56% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits D10"
14Man1022Ch05A__durance1,biological,0.5186,4,branchie,mock_contaminated,"52% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits D10"
14Bue1001Cn01A__durance3,biological,0.4690,4,caudale,mock_contaminated,"47% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits E06"
14Bue1001Cn01A__durance1,biological,0.4671,4,caudale,mock_contaminated,"47% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits E06"
14Bue1001Cn01A__durance2,biological,0.4668,4,caudale,mock_contaminated,"47% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits E06"
14Ain1043Pt01A__durance1,biological,0.4142,4,caudale,mock_contaminated,"41% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits F02"
14Ain1043Pt01A__durance3,biological,0.3804,4,caudale,mock_contaminated,"38% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits F02"
14Ain1043Pt01A__durance2,biological,0.3797,4,caudale,mock_contaminated,"38% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits F02"
14Bue1004Cn01A__durance1,biological,0.3581,4,caudale,mock_contaminated,"36% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits H06"
14Bue1004Cn01A__durance3,biological,0.3392,4,caudale,mock_contaminated,"34% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits H06"
15Bue1011Ch03A__durance2,biological,0.3328,4,hindgut,mock_contaminated,"33% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits H11"
14Bue1004Cn01A__durance2,biological,0.3311,4,caudale,mock_contaminated,"33% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits H06"
15Bue1011Ch03A__durance3,biological,0.3038,4,hindgut,mock_contaminated,"30% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits H11"
14Bue1005Cn01A__durance1,biological,0.2356,4,caudale,mock_contaminated,"24% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits A07"
14Per2011Ch03A-bis__durance1,biological,0.2265,4,hindgut,mock_contaminated,"23% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits A12"
15Caa1018Ch01A__durance1,biological,0.2128,4,caudale,mock_contaminated,"21% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits F08"
15Avi1001Cn02A__durance3,biological,0.2083,4,midgut,mock_contaminated,"21% lectures mock sur ce puits-tissu ; vrai poisson (n_tissus=4, autres tissus propres) ; puits A09"
15Cab1022Ch01A__durance1,biological,0.9945,1,caudale,probable_mock,99% lectures mock ; individu sans tissu digestif/branchial (n_tissus=1) ; puits H11 i7 SA711 co-localise mocks
15Cab1022Ch01A__durance3,biological,0.9941,1,caudale,probable_mock,99% lectures mock ; individu sans tissu digestif/branchial (n_tissus=1) ; puits H11 i7 SA711 co-localise mocks
15Cab1022Ch01A__durance2,biological,0.9939,1,caudale,probable_mock,99% lectures mock ; individu sans tissu digestif/branchial (n_tissus=1) ; puits H11 i7 SA711 co-localise mocks
15Cab1021Ch01A__durance1,biological,0.7269,1,caudale,probable_mock,73% lectures mock ; individu sans tissu digestif/branchial (n_tissus=1) ; puits G11 i7 SA711 co-localise mocks
15Cab1021Ch01A__durance3,biological,0.7106,1,caudale,probable_mock,71% lectures mock ; individu sans tissu digestif/branchial (n_tissus=1) ; puits G11 i7 SA711 co-localise mocks
15Cab1021Ch01A__durance2,biological,0.7003,1,caudale,probable_mock,70% lectures mock ; individu sans tissu digestif/branchial (n_tissus=1) ; puits G11 i7 SA711 co-localise mocks
