Individu;Q2_Ch1;Q2_Ch2;Q2_ch3;Q1_ch4;Q2_ch5;Q2_ch6;Q2_ch7;Q1_ch8;Q2_Ch9;Q1_Ch10;Q2_ch11;Q2_Ch12;Q2_ch13;Q1_14;Q2_15;Q2_16;Q1_17;Q2_Ch18;Q1_ch19;Q2_ch20;Q1_ch21;Q1_ch22;Q1_ch23;Q2_24;Q2_ch25
14Ain1001Cn;0,999643;0,967708;0,970028;0,9999;0,9999;0,99664;0,9999;0,9999;0,986666;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,98169;0,98293;0,984988;0,9999;0,9999;0,9999;0,9999;0,9999
14Ain1002Cn;0,965227;0,9999;0,995048;0,9999;0,9999;0,986618;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,983091;0,9999;0,972823;0,9999;0,986852;0,9999
14Ain1012Pt;1E-04;1E-04;1E-04;1E-04;0,0322528;0,00994482;0,0341256;1E-04;1E-04;1E-04;1E-04;0,0118634;1E-04;1E-04;1E-04;1E-04;0,0092346;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04
14Ain1013Pt;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,00383158;1E-04;0,000893825;0,0100728;1E-04;1E-04;0,00136594;1E-04;1E-04;1E-04;1E-04
14Ain1014Pt;1E-04;0,0173041;1E-04;1E-04;0,0194883;1E-04;1E-04;0,0154818;0,0143011;1E-04;0,00507816;1E-04;1E-04;1E-04;0,0276382;1E-04;0,0200202;1E-04;0,004375;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04
14Ain1036Cn;0,965587;0,931171;0,924312;0,964978;0,936863;0,9999;0,950866;0,929465;0,980119;0,977875;0,972087;0,959825;0,9999;0,9999;0,981693;0,992472;0,948606;0,9999;0,956807;0,9999;0,980568;0,967016;0,997708;0,907572;0,944228
14Ain1042Pt;0,021117;1E-04;0,0101316;1E-04;1E-04;1E-04;0,00487772;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,00619741;1E-04;1E-04;1E-04;1E-04;0,00258969;0,0253761;1E-04;0,0058691
14Ain1043Pt;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,00648026;1E-04;1E-04;0,00602094;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,00360977
14Ain1011Pt;1E-04;0,02498;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,0299116;1E-04;0,00347163;1E-04;1E-04;0,000708262;0,00094858;0,00142522;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04
14Ain1037Cn;0,9999;0,9999;0,9999;0,983384;0,9999;0,992237;0,9999;0,949482;0,9999;0,9999;0,9999;0,9999;0,9999;0,997139;0,9999;0,9999;0,992631;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,977977;0,9999
14Ain1038Pt;1E-04;0,00147959;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,00284375;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,0106608;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04
