year,site,individual,station
2014,Ain,1001,Pont-d'Ain
2014,Ain,1002,Pont-d'Ain
2014,Ain,1011,Chavannes-sur-Suran
2014,Ain,1012,Chavannes-sur-Suran
2014,Ain,1013,Chavannes-sur-Suran
2014,Ain,1014,Chavannes-sur-Suran
2014,Ain,1036,Pont-d'Ain
2014,Ain,1037,Pont-d'Ain
2014,Ain,1038,Chavannes-sur-Suran
2014,Ain,1039,Chavannes-sur-Suran
2014,Ain,1040,Chavannes-sur-Suran
2014,Ain,1041,Chavannes-sur-Suran
2014,Ain,1042,Chavannes-sur-Suran
2014,Ain,1043,Chavannes-sur-Suran
2014,Avi,1001,Avignon
2014,Avi,1002,Avignon
2014,Avi,1003,Avignon
2014,Avi,1004,Avignon
2014,Avi,1005,Avignon
2014,Avi,1006,Avignon
2014,Avi,1007,Avignon
2014,Avi,1008,Avignon
2014,Avi,1036,Avignon
2014,Avi,1037,Avignon
2014,Avi,1038,Avignon
2014,Bue,1001,Confluence Buech-Meouge
2014,Bue,1002,Confluence Buech-Meouge
2014,Bue,1003,Confluence Buech-Meouge
2014,Bue,1004,Confluence Buech-Meouge
2014,Bue,1005,Confluence Buech-Meouge
2014,Bue,1006,Confluence Buech-Meouge
2014,Bue,1007,Confluence Buech-Meouge
2014,Bue,1008,Confluence Buech-Meouge
2014,Bue,1011,Confluence Buech-Meouge
2014,Bue,1012,Confluence Buech-Meouge
2014,Bue,1013,Confluence Buech-Meouge
2014,Bue,1014,Confluence Buech-Meouge
2014,Bue,1015,Confluence Buech-Meouge
2014,Bue,1016,Confluence Buech-Meouge
2014,Bue,1017,Confluence Buech-Meouge
2014,Bue,1018,Confluence Buech-Meouge
2014,Bue,1019,Confluence Buech-Meouge
2014,Man,1001,Manosque-Oraison
2014,Man,1002,Manosque-Oraison
2014,Man,1010,Manosque-Oraison
2014,Man,1011,Manosque-Oraison
2014,Man,1012,Manosque-Oraison
2014,Man,1013,Manosque-Oraison
2014,Man,1014,Manosque-Oraison
2014,Man,1015,Manosque-Oraison
2014,Man,1016,Manosque-Oraison
2014,Man,1017,Manosque-Oraison
2014,Man,1018,Manosque-Oraison
2014,Man,1019,Manosque-Oraison
2014,Man,1020,Manosque-Oraison
2014,Man,1021,Manosque-Oraison
2014,Man,1022,Manosque-Oraison
2014,Per,1011,Pertuis
2014,Per,1012,Pertuis
2014,Per,1013,Pertuis
2014,Per,1014,Pertuis
2014,Per,2011,Pertuis
2014,Per,2012,Pertuis
2014,Per,2013,Pertuis
2014,Per,2014,Pertuis
2014,Per,2015,Pertuis
2015,Avi,1001,Avignon
2015,Avi,1002,Avignon
2015,Avi,1003,Avignon
2015,Avi,1004,Avignon
2015,Avi,1005,Avignon
2015,Avi,1006,Avignon
2015,Avi,1007,Avignon
2015,Avi,1008,Avignon
2015,Avi,1009,Avignon
2015,Avi,1010,Avignon
2015,Avi,1011,Avignon
2015,Avi,1012,Avignon
2015,Avi,1013,Avignon
2015,Bau,1001,Rosieres
2015,Bau,1002,Rosieres
2015,Bau,1003,Rosieres
2015,Bau,1004,Rosieres
2015,Bau,1005,Rosieres
2015,Bau,1006,Rosieres
2015,Bau,1007,Rosieres
2015,Bau,1008,Rosieres
2015,Bau,1009,Rosieres
2015,Bau,1010,Rosieres
2015,Bau,1011,Rosieres
2015,Bau,1012,Rosieres
2015,Bau,1013,Rosieres
2015,Bau,1014,Rosieres
2015,Bau,1015,Rosieres
2015,Bau,1016,Rosieres
2015,Bau,1017,Rosieres
2015,Bau,1018,Rosieres
2015,Bau,1019,Rosieres
2015,Bau,1020,Rosieres
2015,Bau,1021,Rosieres
2015,Bau,1022,Rosieres
2015,Bau,1023,Rosieres
2015,Bau,1024,Rosieres
2015,Bau,1025,Rosieres
2015,Bue,1001,Confluence Buech-Meouge
2015,Bue,1002,Confluence Buech-Meouge
2015,Bue,1003,Confluence Buech-Meouge
2015,Bue,1004,Confluence Buech-Meouge
2015,Bue,1005,Confluence Buech-Meouge
2015,Bue,1006,Confluence Buech-Meouge
2015,Bue,1007,Confluence Buech-Meouge
2015,Bue,1008,Confluence Buech-Meouge
2015,Bue,1009,Confluence Buech-Meouge
2015,Bue,1010,Confluence Buech-Meouge
2015,Bue,1011,Confluence Buech-Meouge
2015,Bue,1012,Confluence Buech-Meouge
2015,Bue,1013,Confluence Buech-Meouge
2015,Bue,1014,Confluence Buech-Meouge
2015,Bue,1015,Confluence Buech-Meouge
2015,Bue,1016,Confluence Buech-Meouge
2015,Bue,1017,Confluence Buech-Meouge
2015,Bue,1018,Confluence Buech-Meouge
2015,Caa,1001,Canal (usine du Largue)
2015,Caa,1002,Canal (usine du Largue)
2015,Caa,1003,Canal (usine du Largue)
2015,Caa,1004,Canal (usine du Largue)
2015,Caa,1005,Canal (usine du Largue)
2015,Caa,1006,Canal (usine du Largue)
2015,Caa,1007,Canal (usine du Largue)
2015,Caa,1008,Canal (usine du Largue)
2015,Caa,1009,Canal (usine du Largue)
2015,Caa,1010,Canal (usine du Largue)
2015,Caa,1011,Canal (usine du Largue)
2015,Caa,1012,Canal (usine du Largue)
2015,Caa,1013,Canal (usine du Largue)
2015,Caa,1014,Canal (usine du Largue)
2015,Caa,1015,Canal (usine du Largue)
2015,Caa,1016,Canal (usine du Largue)
2015,Caa,1017,Canal (usine du Largue)
2015,Caa,1018,Canal (usine du Largue)
2015,Caa,1019,Canal (usine du Largue)
2015,Caa,1020,Canal (usine du Largue)
2015,Cab,1001,Pont-d'Ain
2015,Cab,1002,Pont-d'Ain
2015,Cab,1003,Pont-d'Ain
2015,Cab,1004,Pont-d'Ain
2015,Cab,1005,Pont-d'Ain
2015,Cab,1006,Pont-d'Ain
2015,Cab,1007,Pont-d'Ain
2015,Cab,1008,Pont-d'Ain
2015,Cab,1009,Pont-d'Ain
2015,Cab,1010,Pont-d'Ain
2015,Cab,1011,Chavannes-sur-Suran
2015,Cab,1012,Chavannes-sur-Suran
2015,Cab,1013,Chavannes-sur-Suran
2015,Cab,1014,Chavannes-sur-Suran
2015,Cab,1015,Chavannes-sur-Suran
2015,Cab,1016,Chavannes-sur-Suran
2015,Cab,1017,Chavannes-sur-Suran
2015,Cab,1018,Chavannes-sur-Suran
2015,Cab,1019,Chavannes-sur-Suran
2015,Jus,1001,Saint-Just-d'Ardeche
