individual_id,site_code,site_nom,riviere,annee,individual,taxon_morpho,classe_sept_25chr,index_median,D,sexe,taille_cm,n_tissus_sequences,n_chromosomes_introgresses,type_genome,classe_aout_12chr,change_aout_sept,cluster_k8,Qvalues_presentes,n_tissus_utilisables
2014_Ain_1001,Ain,Ain,Ain,2014,1001,Cn,Cn,0.9999,0.032192,M,30.0,4,0.0,pur,Cn,False,5.0,True,4
2014_Ain_1002,Ain,Ain,Ain,2014,1002,Cn,Cn,0.9999,0.034673000000000065,M,30.0,4,0.0,pur,Cn,False,5.0,True,4
2014_Ain_1011,Ain,Ain,Ain,2014,1011,Pt,Pt,0.0001,0.0298116,M,15.0,4,0.0,pur,Pt,False,3.0,True,4
2014_Ain_1012,Ain,Ain,Ain,2014,1012,Pt,Pt,0.0001,0.034025599999999996,F,17.5,4,0.0,pur,Pt,False,3.0,True,4
2014_Ain_1013,Ain,Ain,Ain,2014,1013,Pt,Pt,0.0001,0.0099728,M,14.0,4,0.0,pur,Pt,False,3.0,True,4
2014_Ain_1014,Ain,Ain,Ain,2014,1014,Pt,Pt,0.0001,0.027538200000000002,M,15.0,4,0.0,pur,Pt,False,3.0,True,4
2014_Ain_1036,Ain,Ain,Ain,2014,1036,Cn,Cn,0.9695515,0.05944399999999994,M,33.0,4,0.0,pur,Cn,False,6.0,True,4
2014_Ain_1037,Ain,Ain,Ain,2014,1037,Cn,Cn,0.9999,0.05041799999999996,F,39.5,4,0.0,pur,Cn,False,5.0,True,4
2014_Ain_1038,Ain,Ain,Ain,2014,1038,Pt,Pt,0.0001,0.0105608,X,10.5,3,0.0,pur,Pt,False,3.0,True,3
2014_Ain_1039,Ain,Ain,Ain,2014,1039,Pt,Pt,0.0001,0.014295200000000001,F,20.0,4,0.0,pur,Pt,False,3.0,True,3
2014_Ain_1040,Ain,Ain,Ain,2014,1040,Pt,Pt,0.0001,0.029344600000000002,F,18.5,4,0.0,pur,Pt,False,3.0,True,4
2014_Ain_1041,Ain,Ain,Ain,2014,1041,Pt,Pt,0.0001,0.00425925,F,20.0,4,0.0,pur,Pt,False,3.0,True,4
2014_Ain_1042,Ain,Ain,Ain,2014,1042,Pt,Pt,0.0001,0.0252761,F,13.5,4,0.0,pur,Pt,False,3.0,True,4
2014_Ain_1043,Ain,Ain,Ain,2014,1043,Pt,Pt,0.0001,0.00638026,F,13.0,4,0.0,pur,Pt,False,3.0,True,2
2014_Avi_1001,Avi,Avignon,Durance,2014,1001,Cn,Cn,0.9999,0.04434400000000005,M,29.5,4,0.0,pur,Cn,False,5.0,True,3
2014_Avi_1002,Avi,Avignon,Durance,2014,1002,Cn,Cn,0.9999,0.026032999999999973,X,10.0,4,0.0,pur,Cn,False,5.0,True,3
2014_Avi_1003,Avi,Avignon,Durance,2014,1003,Cn,Cn,0.9999,0.08229200000000003,M,27.5,4,0.0,pur,Cn,False,5.0,True,4
2014_Avi_1004,Avi,Avignon,Durance,2014,1004,Cn,Cn,0.9999,0.04953200000000002,M,25.5,4,0.0,pur,Cn,False,5.0,True,4
2014_Avi_1005,Avi,Avignon,Durance,2014,1005,Cn,Cn,0.9999,0.08110799999999996,X,12.0,4,0.0,pur,Cn,False,5.0,True,3
2014_Avi_1006,Avi,Avignon,Durance,2014,1006,Cn,Cn,0.9999,0.06947300000000001,X,11.0,4,0.0,pur,Cn,False,5.0,True,3
2014_Avi_1007,Avi,Avignon,Durance,2014,1007,Cn,Cn,0.9999,0.052867,X,10.0,4,0.0,pur,Cn,False,5.0,True,3
2014_Avi_1008,Avi,Avignon,Durance,2014,1008,Cn,Cn,0.981663,0.06918899999999994,X,12.5,4,0.0,pur,Cn,False,5.0,True,3
2014_Avi_1036,Avi,Avignon,Durance,2014,1036,Cn,Cn,0.9999,0.025182000000000038,M,27.0,4,0.0,pur,Cn,False,5.0,True,2
2014_Avi_1037,Avi,Avignon,Durance,2014,1037,Cn,Cn,0.9999,0.114066,M,35.0,4,0.0,pur,Cn,False,5.0,True,1
2014_Avi_1038,Avi,Avignon,Durance,2014,1038,Cn,Cn,0.9999,0.031088000000000005,M,34.5,4,0.0,pur,Cn,False,5.0,True,4
2014_Bue_1001,Bue,Büech,Durance,2014,1001,Cn,Cn,0.9878026,0.0,,15.5,4,,pur,Cn,False,,False,2
2014_Bue_1002,Bue,Büech,Durance,2014,1002,Cn,Cn,0.989712,0.0,,13.5,4,,pur,Cn,False,,False,4
2014_Bue_1003,Bue,Büech,Durance,2014,1003,Cn,Cn,0.9998119999999999,0.07858799999999999,,18.0,4,0.0,pur,Cn,False,5.0,True,3
2014_Bue_1004,Bue,Büech,Durance,2014,1004,Cn,Cn,0.9999,0.08070200000000005,,18.5,4,0.0,pur,Cn,False,5.0,True,2
2014_Bue_1005,Bue,Büech,Durance,2014,1005,Cn,Cn,0.9999,0.08989400000000003,,29.0,4,0.0,pur,Cn,False,5.0,True,3
